angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.911036,0.00118242,0.00129621,5525000,552000,4973000,10.0091
-831034,0.782006,0.781612,0.000394087,0.000503944,5525000,1004000,4521000,5.50299
-458094,0.983342,0.981813,0.00152941,0.00155532,5812000,1003000,4809000,5.79462
609577,-0.0200326,-0.0199819,5.06858e-005,0.00253016,5530000,1043000,4487000,5.30201
409167,0.775342,0.774918,0.000423355,0.000546023,5086000,1002000,4084000,5.07585
-443709,-0.993514,-0.992052,0.00146215,0.00147169,5315000,1004000,4311000,5.29382
471271,0.524898,0.524909,1.10111e-005,2.09776e-005,5518000,1505000,4013000,3.66645
657518,0.301253,0.300783,0.000469713,0.0015592,5571000,1008000,4563000,5.52679
166359,0.346461,0.346074,0.000387164,0.00111748,5436000,1002000,4434000,5.42515
-30974.2,-0.304366,-0.303894,0.000471789,0.00155007,5533000,1507000,4026000,3.67153
-328370,-0.438096,-0.437959,0.000137671,0.000314249,5622000,1003000,4619000,5.60518
-806591,0.993627,0.992166,0.00146118,0.00147055,5457000,1002000,4455000,5.44611
433238,0.902626,0.901407,0.00121914,0.00135066,5533000,1009000,4524000,5.48365
-609370,0.235756,0.235378,0.000377333,0.00160052,5539000,1004000,4535000,5.51693
664120,0.977335,0.975814,0.001521,0.00155627,5032000,1019000,4013000,4.93817
519614,0.378671,0.378418,0.000252512,0.000666838,6426000,1006000,5420000,6.38767
-856232,-0.855574,-0.855049,0.000524723,0.000613299,5220000,999000,4221000,5.22523
-642337,0.381758,0.381518,0.000239775,0.000628081,6083000,1003000,5080000,6.06481
162445,0.823746,0.823436,0.000310136,0.000376495,4201000,1503000,2698000,2.79508
-551083,-0.834158,-0.833814,0.000343375,0.000411643,6155000,1013000,5142000,6.07601
45341.5,-0.438833,-0.438694,0.000139015,0.000316784,5022000,1284000,3738000,3.91121
-86323.8,0.647409,0.647643,0.000234105,0.000361602,5030000,2014000,3016000,2.49752
400490,0.944026,0.942972,0.00105424,0.00111675,5023000,1013000,4010000,4.95854
405221,0.99981,0.998361,0.00144934,0.00144962,5636000,1020000,4616000,5.52549
752226,-0.962752,-0.961602,0.00115003,0.00119452,5057000,1503000,3554000,3.3646
-73721.3,0.766891,0.766431,0.000460756,0.000600811,5034000,1004000,4030000,5.01394
