angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409555,0.0001481,0.000361481,5524000,1012000,4512000,5.4585
-831034,-0.623271,-0.622492,0.000778368,0.00124884,5021000,1002000,4019000,5.01098
-458094,0.181763,0.181974,0.000211298,0.00116249,6017000,1005000,5012000,5.98706
609577,0.999799,0.99835,0.00144896,0.00144926,5013000,1002000,4011000,5.00299
409167,-0.631542,-0.6308,0.000742146,0.00117513,6023000,1002000,5021000,6.01098
-443709,-0.113706,-0.113911,0.000205188,0.00180455,4527000,1503000,3024000,3.01198
471271,0.851165,0.851158,6.84985e-006,8.04761e-006,5517000,1002000,4515000,5.50599
657518,0.953544,0.952471,0.00107348,0.00112578,5560000,1011000,4549000,5.49951
166359,-0.938064,-0.937,0.0010638,0.00113404,5012000,1004000,4008000,4.99203
-30974.2,0.952555,0.951486,0.00106902,0.00112226,4515000,1002000,3513000,4.50599
-328370,0.898928,0.8977,0.00122773,0.00136577,6056000,1009000,5047000,6.00198
-806591,-0.11272,-0.112921,0.000201801,0.00179029,5573000,1002000,4571000,5.56188
433238,-0.430425,-0.430296,0.000129077,0.000299882,5559000,1004000,4555000,5.53685
-609370,-0.971812,-0.970343,0.00146898,0.00151159,5517000,502000,5015000,10.99
664120,0.211697,0.21167,2.69259e-005,0.000127191,6032000,1008000,5024000,5.98413
519614,0.925531,0.924416,0.00111502,0.00120474,5020000,1002000,4018000,5.00998
-856232,0.517681,0.517451,0.000230149,0.000444576,5013000,1503000,3510000,3.33533
-642337,-0.924262,-0.923141,0.00112146,0.00121336,5448000,1003000,4445000,5.4317
162445,-0.566959,-0.566155,0.000804324,0.00141866,5019000,1002000,4017000,5.00898
-551083,0.551526,0.550825,0.000701027,0.00127107,6046000,1000000,5046000,6.046
45341.5,0.898569,0.89734,0.00122836,0.00136702,5448000,0,5448000,inf
-86323.8,0.762143,0.761933,0.000210333,0.000275975,5564000,1310000,4254000,4.24733
400490,-0.32987,-0.329429,0.000440958,0.00133676,5016000,1002000,4014000,5.00599
405221,0.0194771,0.019427,5.01255e-005,0.00257356,5580000,1002000,4578000,5.56886
752226,-0.270386,-0.270029,0.000357362,0.00132167,6334000,1003000,5331000,6.31505
-73721.3,-0.641777,-0.641084,0.000693198,0.00108012,5012000,1003000,4009000,4.99701
702215,-0.396756,-0.396573,0.000183839,0.000463354,5580000,1004000,4576000,5.55777
777770,-0.0440029,-0.0439653,3.75535e-005,0.000853433,6149000,1008000,5141000,6.1002
515021,0.722594,0.722449,0.000145072,0.000200765,5506000,1000000,4506000,5.506
-866518,0.885793,0.884571,0.00122188,0.00137942,5420000,1002000,4418000,5.40918
-200535,-0.365617,-0.365309,0.000308327,0.000843304,5516000,502000,5014000,10.988
-491125,0.261926,0.261634,0.00029241,0.00111638,6051000,1002000,5049000,6.03892
-927838,-0.352157,-0.351792,0.000364922,0.00103625,5022000,1002000,4020000,5.01198
123389,-0.117721,-0.11794,0.000218453,0.00185569,6029000,1005000,5024000,5.999
-765238,-0.366499,-0.366195,0.000304524,0.0008309,5998000,0,5998000,inf
-526462,0.184825,0.185021,0.000195645,0.00105854,6092000,1003000,5089000,6.07378
846405,-0.285848,-0.285412,0.00043608,0.00152556,6034000,508000,5526000,11.878
-849002,0.6983,0.697801,0.000498898,0.000714446,5605000,1002000,4603000,5.59381
745918,0.263275,0.262971,0.000303873,0.00115421,6035000,1002000,5033000,6.02295
-939301,-0.561679,-0.560903,0.000775854,0.00138131,5453000,1005000,4448000,5.42587
972182,-0.809951,-0.809941,9.70993e-006,1.19883e-005,4635000,1002000,3633000,4.62575
-17526.5,-0.439346,-0.439206,0.000140008,0.000318673,6018000,1003000,5015000,6
-854271,-0.526401,-0.526014,0.000387145,0.000735457,5061000,1502000,3559000,3.36951
820824,0.815967,0.815979,1.22697e-005,1.5037e-005,5517000,1003000,4514000,5.5005
-961711,-0.643324,-0.642638,0.000685603,0.00106572,5770000,1031000,4739000,5.59651
-350186,0.667187,0.666613,0.000573876,0.000860143,5011000,1502000,3509000,3.33622
-534035,-0.999533,-0.99809,0.00144249,0.00144316,4516000,1001000,3515000,4.51149
216209,-0.975619,-0.974109,0.00150966,0.00154739,6031000,1003000,5028000,6.01296
631025,-0.981759,-0.980228,0.00153162,0.00156008,5383000,1004000,4379000,5.36155
287279,-0.705334,-0.704831,0.000502773,0.000712816,5634000,0,5634000,inf
-968453,-0.0442867,-0.0442497,3.70186e-005,0.000835885,6515000,502000,6013000,12.9781
862018,0.0300244,0.0299708,5.35821e-005,0.00178462,5532000,1007000,4525000,5.49355
177232,0.900478,0.899253,0.00122459,0.00135993,4982000,1002000,3980000,4.97206
172012,-0.0827819,-0.0828678,8.58477e-005,0.00103703,6014000,1005000,5009000,5.98408
244136,0.5345,0.53399,0.000509874,0.000953928,5038000,1002000,4036000,5.02794
-491787,-0.976749,-0.975232,0.0015176,0.00155373,5575000,1003000,4572000,5.55833
74256.5,0.980732,0.9792,0.00153143,0.00156152,5020000,1504000,3516000,3.33777
-375559,-0.618822,-0.618026,0.000795921,0.00128619,5110000,1003000,4107000,5.09472
-179296,0.788364,0.788255,0.000108924,0.000138165,5428000,1001000,4427000,5.42258
-151215,0.930388,0.929296,0.00109182,0.00117351,5036000,1003000,4033000,5.02094
848151,0.257402,0.256565,0.000836986,0.00325168,5533000,1003000,4530000,5.51645
804978,0.928737,0.927637,0.00109938,0.00118374,5470000,1008000,4462000,5.42659
-800517,-0.885429,-0.884209,0.00122076,0.00137872,5017000,1002000,4015000,5.00699
393739,0.0729583,0.0730061,4.78065e-005,0.000655258,5552000,2039000,3513000,2.7229
-371859,-0.689651,-0.689144,0.000506469,0.000734385,5542000,503000,5039000,11.0179
-946442,0.430152,0.430024,0.000128945,0.000299766,6016000,1010000,5006000,5.95644
261935,0.99525,0.993802,0.00144781,0.00145472,5514000,1003000,4511000,5.49751
587251,-0.667032,-0.666457,0.000574515,0.000861301,5012000,1508000,3504000,3.32361
158528,0.136144,0.136409,0.000265071,0.00194699,6039000,1003000,5036000,6.02094
-650367,-0.560561,-0.559792,0.000768934,0.00137172,5013000,1002000,4011000,5.00299
644935,-0.188027,-0.188204,0.00017731,0.000943004,6404000,1008000,5396000,6.35317
-395154,0.9492,0.948141,0.00105845,0.0011151,5013000,1002000,4011000,5.00299
526782,0.24059,0.240123,0.00046742,0.0019428,4983000,1004000,3979000,4.96315
377425,0.269969,0.269614,0.000354537,0.00131325,6027000,1005000,5022000,5.99701
950659,0.0456275,0.0455931,3.43906e-005,0.000753725,6021000,1008000,5013000,5.97321
-11888,-0.234472,-0.234117,0.00035457,0.00151221,5570000,1004000,4566000,5.54781
661137,0.975762,0.974251,0.00151077,0.00154829,5968000,503000,5465000,11.8648
274357,0.990456,0.988968,0.00148871,0.00150305,5024000,1009000,4015000,4.97919
-542349,0.262594,0.262296,0.000298139,0.00113536,5926000,1001000,4925000,5.92008
-193259,-0.784737,-0.784611,0.000125998,0.000160561,5019000,1000000,4019000,5.019
-372006,0.459903,0.459681,0.000221552,0.000481735,6061000,1002000,5059000,6.0489
601429,0.708779,0.708758,2.18021e-005,3.07601e-005,5020000,1007000,4013000,4.9851
-247536,0.085051,0.0851459,9.48988e-005,0.00111579,5512000,1502000,4010000,3.66977
949161,-0.548051,-0.547382,0.000668968,0.00122063,5047000,1002000,4045000,5.03693
369196,0.901145,0.899922,0.00122303,0.0013572,5523000,1088000,4435000,5.07629
805927,0.919716,0.918571,0.00114502,0.00124498,5012000,1008000,4004000,4.97222
-248458,-0.951975,-0.950908,0.0010667,0.00112051,5592000,1002000,4590000,5.58084
-255643,0.739704,0.739486,0.000218502,0.000295391,4626000,1006000,3620000,4.59841
-325730,0.347739,0.347356,0.000382304,0.0010994,5309000,1002000,4307000,5.2984
317173,-0.826023,-0.82606,3.72531e-005,4.50994e-005,5589000,1003000,4586000,5.57228
-220519,0.971574,0.970108,0.0014657,0.00150858,5013000,1503000,3510000,3.33533
-968943,-0.750794,-0.750567,0.000226976,0.000302314,5527000,1002000,4525000,5.51597
-940128,0.0670548,0.0670813,2.64202e-005,0.000394009,4956000,1008000,3948000,4.91667
-71663.1,0.226063,0.225846,0.000217167,0.000960649,6031000,1000000,5031000,6.031
754917,-0.999809,-0.99836,0.0014493,0.00144958,5027000,1002000,4025000,5.01697
-139925,0.886267,0.885044,0.00122325,0.00138022,5019000,990000,4029000,5.0697
-289841,0.909071,0.907875,0.00119634,0.001316,6031000,1003000,5028000,6.01296
-715375,-0.356634,-0.356288,0.00034656,0.000971753,5017000,1003000,4014000,5.00199
893923,0.981261,0.979729,0.00153169,0.00156095,5016000,1507000,3509000,3.32847
626230,-0.752274,-0.752048,0.000226132,0.000300597,5022000,1003000,4019000,5.00698
-920520,-0.846949,-0.846964,1.45964e-005,1.7234e-005,5025000,1009000,4016000,4.98018
-636484,0.694081,0.69358,0.000501017,0.000721841,5027000,2012000,3015000,2.49851
-416193,-0.997191,-0.995755,0.00143593,0.00143998,5542000,1002000,4540000,5.53094
