angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.449128,-0.44872,0.000408541,0.000909632,3970000,1002000,2968000,3.96208
-831034,-0.797015,-0.795271,0.00174426,0.00218849,4544000,1010000,3534000,4.49901
-458094,0.184842,0.184746,9.58605e-005,0.000518609,4016000,1006000,3010000,3.99205
609577,-49.9085,-49.9258,0.0172384,0.0003454,5037000,580000,4457000,8.68448
409167,-0.814534,-0.812953,0.00158053,0.00194041,4114000,1004000,3110000,4.09761
-443709,0.114448,0.114446,1.56501e-006,1.36745e-005,5016000,1012000,4004000,4.95652
471271,1.62158,1.61968,0.00190446,0.00117444,3517000,1002000,2515000,3.50998
657518,3.16526,3.15899,0.00627793,0.00198338,5078000,1005000,4073000,5.05274
166359,-2.70756,-2.70738,0.000181878,6.71743e-005,4032000,1005000,3027000,4.01194
-30974.2,-3.12964,-3.12398,0.00565907,0.00180822,4209000,1002000,3207000,4.2006
-328370,-2.0519,-2.04681,0.005082,0.00247673,4317000,1503000,2814000,2.87226
-806591,-0.113443,-0.113439,3.3776e-006,2.97736e-005,4153000,1005000,3148000,4.13234
433238,-0.476858,-0.476552,0.000305984,0.000641667,4014000,1503000,2511000,2.67066
-609370,-4.12211,-4.11071,0.0114061,0.00276706,4501000,1064000,3437000,4.23026
664120,0.216606,0.216221,0.000385622,0.00178029,4536000,1116000,3420000,4.06452
519614,2.44416,2.43869,0.00547287,0.00223916,4091000,1006000,3085000,4.0666
-856232,-0.605069,-0.603472,0.00159657,0.00263866,5060000,0,5060000,inf
-642337,-2.42107,-2.41439,0.00668264,0.0027602,5213000,1000000,4213000,5.213
162445,-0.688269,-0.68599,0.00227893,0.00331111,4102000,1008000,3094000,4.06944
-551083,-0.661177,-0.658983,0.00219431,0.00331879,5255000,0,5255000,inf
45341.5,-2.04763,-2.04266,0.00496891,0.00242666,5047000,1004000,4043000,5.02689
-86323.8,1.17722,1.17296,0.00426221,0.00362057,4054000,999000,3055000,4.05806
400490,-0.349429,-0.348519,0.000910433,0.00260549,4899000,1003000,3896000,4.88435
405221,0.0194808,0.0193938,8.70476e-005,0.00446837,4274000,0,4274000,inf
752226,0.280847,0.280044,0.00080285,0.00285867,4468000,1503000,2965000,2.97272
-73721.3,-0.836855,-0.835495,0.00136065,0.00162591,4038000,1031000,3007000,3.91659
702215,-0.432232,-0.431738,0.000494085,0.0011431,5117000,1004000,4113000,5.09661
777770,-0.0440455,-0.0439245,0.000121033,0.0027479,4611000,706000,3905000,6.53116
