angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.912219,7.08766e-013,7.7697e-013,4522000,1006000,3516000,4.49503
-831034,0.782006,0.782006,2.01454e-011,2.57612e-011,5019000,999000,4020000,5.02402
-458094,0.983342,0.983342,3.24574e-012,3.30072e-012,5475000,0,5475000,inf
609577,-0.0200326,-0.0200326,5.30682e-009,2.64909e-007,5955000,0,5955000,inf
409167,0.775342,0.775342,1.01285e-011,1.30632e-011,5947000,1030000,4917000,5.77379
-443709,-0.993514,-0.993514,1.96665e-012,1.97949e-012,5006000,1000000,4006000,5.006
471271,0.524898,0.524898,9.33587e-013,1.77861e-012,5517000,1001000,4516000,5.51149
657518,0.301253,0.301253,2.81025e-010,9.32856e-010,5502000,1000000,4502000,5.502
166359,0.346461,0.346461,1.84315e-010,5.31993e-010,5503000,0,5503000,inf
-30974.2,-0.304366,-0.304366,2.93463e-010,9.64177e-010,6003000,1001000,5002000,5.997
-328370,-0.438096,-0.438096,4.24203e-011,9.68288e-011,5001000,0,5001000,inf
-806591,0.993627,0.993627,3.54405e-012,3.56679e-012,6005000,1001000,5004000,5.999
433238,0.902626,0.902626,7.26907e-012,8.05325e-012,5516000,0,5516000,inf
-609370,0.235756,0.235756,6.12385e-010,2.59754e-009,6004000,1000000,5004000,6.004
664120,0.977335,0.977335,5.4805e-012,5.6076e-012,5015000,1000000,4015000,5.015
519614,0.378671,0.378671,1.00366e-010,2.65047e-010,6002000,501000,5501000,11.98
-856232,-0.855574,-0.855574,1.7276e-011,2.01922e-011,5139000,1001000,4138000,5.13387
-642337,0.381758,0.381758,9.13522e-011,2.39294e-010,6012000,0,6012000,inf
162445,0.823746,0.823746,3.59968e-012,4.36989e-012,6001000,0,6001000,inf
-551083,-0.834158,-0.834158,1.18414e-011,1.41957e-011,5667000,1000000,4667000,5.667
45341.5,-0.438833,-0.438833,5.4964e-011,1.25251e-010,5503000,502000,5001000,10.9622
-86323.8,0.647409,0.647409,4.1056e-012,6.3416e-012,6001000,0,6001000,inf
400490,0.944026,0.944026,5.14977e-012,5.45511e-012,6004000,1000000,5004000,6.004
405221,0.99981,0.99981,3.07643e-013,3.07701e-013,5502000,0,5502000,inf
752226,-0.962752,-0.962752,7.92821e-012,8.23495e-012,5503000,1000000,4503000,5.503
-73721.3,0.766891,0.766891,1.77136e-012,2.30979e-012,5004000,1001000,4003000,4.999
702215,0.917924,0.917924,1.08603e-011,1.18314e-011,5001000,1000000,4001000,5.001
777770,0.999031,0.999031,1.33416e-012,1.33545e-012,6004000,0,6004000,inf
515021,0.691273,0.691273,1.39329e-011,2.01554e-011,6516000,0,6516000,inf
-866518,-0.46408,-0.46408,7.3519e-012,1.58419e-011,6005000,1000000,5005000,6.005
-200535,0.930765,0.930765,2.85794e-012,3.07052e-012,4598000,1004000,3594000,4.57968
-491125,0.965088,0.965088,5.01421e-012,5.1956e-012,5001000,1501000,3500000,3.33178
-927838,0.935941,0.935941,1.27367e-011,1.36084e-011,4502000,1001000,3501000,4.4975
123389,0.993047,0.993047,5.66214e-013,5.70178e-013,5502000,1034000,4468000,5.32108
-765238,-0.930418,-0.930418,1.09326e-011,1.17502e-011,4468000,1001000,3467000,4.46354
-526462,0.982771,0.982771,3.79285e-012,3.85935e-012,6004000,0,6004000,inf
846405,-0.958275,-0.958275,9.43101e-012,9.84166e-012,5001000,1502000,3499000,3.32956
-849002,0.715805,0.715805,2.34212e-011,3.272e-011,5502000,0,5502000,inf
745918,-0.964721,-0.964721,7.65499e-012,7.93492e-012,6004000,0,6004000,inf
-939301,-0.827355,-0.827355,2.05738e-011,2.48669e-011,5961000,1004000,4957000,5.93725
972182,-0.586498,-0.586498,2.55886e-011,4.36296e-011,5005000,1000000,4005000,5.005
-17526.5,-0.898318,-0.898318,3.00315e-013,3.34308e-013,5504000,1000000,4504000,5.504
-854271,-0.850236,-0.850236,1.75321e-011,2.06202e-011,5503000,0,5503000,inf
820824,0.578098,0.578098,2.01624e-011,3.48772e-011,6006000,1000000,5006000,6.006
-961711,0.765594,0.765594,2.4041e-011,3.14017e-011,5522000,1000000,4522000,5.522
-350186,0.744891,0.744891,9.24816e-012,1.24155e-011,5009000,1001000,4008000,5.004
-534035,-0.0305673,-0.0305673,4.82352e-009,1.578e-007,5004000,1007000,3997000,4.96922
216209,-0.219471,-0.219471,7.48321e-010,3.40967e-009,5614000,1001000,4613000,5.60839
631025,-0.190128,-0.190128,1.00453e-009,5.28343e-009,6006000,0,6006000,inf
287279,0.708875,0.708875,8.27038e-012,1.16669e-011,6009000,1006000,5003000,5.97316
-968453,0.999019,0.999019,1.67188e-012,1.67353e-012,5001000,1001000,4000000,4.996
862018,-0.999549,-0.999549,1.00886e-012,1.00931e-012,5643000,0,5643000,inf
177232,-0.434902,-0.434902,6.25953e-011,1.4393e-010,6503000,0,6503000,inf
172012,-0.996568,-0.996568,5.55e-013,5.56912e-013,5503000,1000000,4503000,5.503
244136,-0.845169,-0.845169,5.09048e-012,6.02304e-012,5621000,384000,5237000,14.638
-491787,-0.214385,-0.214385,8.17149e-010,3.81159e-009,6002000,0,6002000,inf
74256.5,-0.19536,-0.19536,9.7728e-010,5.00245e-009,6004000,1001000,5003000,5.998
-375559,0.785531,0.785531,9.01967e-012,1.14823e-011,5503000,501000,5002000,10.984
-179296,0.615209,0.615209,8.47666e-012,1.37785e-011,6002000,0,6002000,inf
-151215,-0.366577,-0.366577,1.33367e-010,3.63816e-010,6004000,1000000,5004000,6.004
848151,-0.966305,-0.966305,8.51008e-012,8.80683e-012,5513000,501000,5012000,11.004
804978,0.37074,0.37074,1.02607e-010,2.76763e-010,5059000,1000000,4059000,5.059
-800517,0.464774,0.464774,9.26847e-012,1.99419e-011,6006000,1000000,5006000,6.006
393739,-0.997335,-0.997335,1.11988e-012,1.12287e-012,5001000,0,5001000,inf
-371859,0.724142,0.724142,9.74643e-012,1.34593e-011,6005000,1000000,5005000,6.005
-946442,0.902756,0.902756,1.58697e-011,1.75792e-011,4502000,1502000,3000000,2.99734
261935,-0.0973532,-0.0973532,2.59066e-009,2.6611e-008,5001000,1000000,4001000,5.001
587251,0.745029,0.745029,1.54096e-011,2.06832e-011,5004000,1000000,4004000,5.004
158528,-0.990689,-0.990689,8.41216e-013,8.49122e-013,5001000,0,5001000,inf
-650367,0.828113,0.828113,1.42032e-011,1.71513e-011,6004000,1001000,5003000,5.998
644935,-0.982164,-0.982164,4.72689e-012,4.81273e-012,5502000,501000,5001000,10.982
-395154,-0.314675,-0.314675,2.4649e-010,7.83316e-010,6001000,0,6001000,inf
526782,0.970627,0.970627,4.94027e-012,5.08977e-012,6005000,0,6005000,inf
377425,0.962869,0.962869,3.97171e-012,4.12487e-012,5001000,1501000,3500000,3.33178
950659,0.998959,0.998959,1.69076e-012,1.69252e-012,5503000,0,5503000,inf
-11888,0.972123,0.972123,1.08691e-013,1.11808e-013,5502000,502000,5000000,10.9602
661137,-0.218835,-0.218835,7.86813e-010,3.59546e-009,5001000,1504000,3497000,3.32513
274357,-0.137826,-0.137826,1.75377e-009,1.27245e-008,6035000,0,6035000,inf
-542349,-0.964906,-0.964906,5.55145e-012,5.75335e-012,6001000,502000,5499000,11.9542
-193259,0.619829,0.619829,3.20233e-012,5.16647e-012,5112000,1000000,4112000,5.112
-372006,-0.887969,-0.887969,6.66855e-012,7.50989e-012,5004000,1000000,4004000,5.004
601429,-0.70543,-0.70543,1.70221e-011,2.413e-011,6002000,0,6002000,inf
-247536,-0.996377,-0.996377,8.20566e-013,8.2355e-013,6005000,0,6005000,inf
949161,-0.836445,-0.836445,2.02716e-011,2.42354e-011,5503000,1001000,4502000,5.4975
369196,-0.433518,-0.433518,7.04332e-011,1.62469e-010,5502000,1000000,4502000,5.502
805927,-0.392585,-0.392585,1.28428e-010,3.27133e-010,5004000,1000000,4004000,5.004
-248458,-0.306176,-0.306176,2.97686e-010,9.72273e-010,5001000,1502000,3499000,3.32956
-255643,0.672932,0.672932,8.25151e-012,1.2262e-011,5503000,1000000,4503000,5.503
-325730,-0.937591,-0.937591,4.41513e-012,4.70902e-012,5004000,1000000,4004000,5.004
317173,-0.563637,-0.563637,2.53353e-012,4.49497e-012,5332000,1005000,4327000,5.30547
-220519,-0.236738,-0.236738,6.20411e-010,2.62067e-009,5009000,1000000,4009000,5.009
-968943,0.660537,0.660537,2.71964e-011,4.11731e-011,6004000,0,6004000,inf
-940128,0.997749,0.997749,2.45737e-012,2.46291e-012,5622000,0,5622000,inf
-71663.1,-0.974113,-0.974113,6.31606e-013,6.48391e-013,6528000,0,6528000,inf
754917,-0.0195353,-0.0195353,5.27738e-009,2.70146e-007,6002000,1000000,5002000,6.002
-139925,0.463175,0.463175,4.25981e-011,9.19698e-011,5618000,1000000,4618000,5.618
-289841,-0.416641,-0.416641,6.20898e-011,1.49025e-010,5010000,1001000,4009000,5.005
-715375,-0.934244,-0.934244,9.94482e-012,1.06448e-011,5001000,1000000,4001000,5.001
893923,-0.192684,-0.192684,1.03604e-009,5.37686e-009,5710000,1001000,4709000,5.7043
626230,-0.65885,-0.65885,1.71588e-011,2.60436e-011,6005000,0,6005000,inf
-920520,-0.531674,-0.531674,4.35603e-011,8.19305e-011,6001000,1001000,5000000,5.995
-636484,-0.719897,-0.719897,1.69407e-011,2.35321e-011,5004000,1000000,4004000,5.004
-416193,0.0748981,0.0748981,3.1746e-009,4.23856e-008,5503000,0,5503000,inf
-928600,-0.526884,-0.526884,4.50029e-011,8.54132e-011,6503000,0,6503000,inf
-725649,-0.63475,-0.63475,1.98509e-011,3.12736e-011,6004000,1000000,5004000,6.004
653679,0.144794,0.144794,1.60194e-009,1.10636e-008,5001000,1502000,3499000,3.32956
-262700,0.988224,0.988224,1.56697e-012,1.58564e-012,5502000,0,5502000,inf
689125,-0.888252,-0.888252,1.23391e-011,1.38915e-011,6005000,0,6005000,inf
-99888.8,0.32345,0.32345,2.39019e-010,7.38969e-010,5001000,1501000,3500000,3.33178
170701,0.950903,0.950903,2.05935e-012,2.16568e-012,5623000,1001000,4622000,5.61738
-615775,-0.733275,-0.733275,1.61252e-011,2.19907e-011,4000000,1502000,2498000,2.66312
-640224,0.737868,0.737868,1.70159e-011,2.3061e-011,4948000,1431000,3517000,3.45772
262255,0.0392849,0.0392849,4.4259e-009,1.12662e-007,5384000,1008000,4376000,5.34127
949809,0.106598,0.106598,2.3988e-009,2.25031e-008,6174000,0,6174000,inf
807994,0.41262,0.41262,4.76905e-011,1.1558e-010,6140000,1003000,5137000,6.12164
389343,0.660931,0.660931,1.25405e-011,1.8974e-011,5660000,583000,5077000,9.7084
-645626,-0.914672,-0.914672,1.01723e-011,1.11213e-011,5256000,0,5256000,inf
-571400,0.750836,0.750836,1.45929e-011,1.94355e-011,6195000,0,6195000,inf
636628,-0.897484,-0.897484,1.09452e-011,1.21955e-011,6051000,503000,5548000,12.0298
915060,-0.343839,-0.343839,2.17537e-010,6.32673e-010,5769000,0,5769000,inf
-351291,-0.380539,-0.380539,1.03635e-010,2.72339e-010,6628000,0,6628000,inf
219754,0.988077,0.988077,1.31894e-012,1.33486e-012,5259000,1006000,4253000,5.22763
788997,-0.169459,-0.169459,1.24051e-009,7.32039e-009,5588000,1003000,4585000,5.57129
66244.8,0.365772,0.365772,1.37859e-010,3.76897e-010,5069000,1136000,3933000,4.46215
