angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,3.20077e-013,7.81242e-013,6007000,0,6007000,inf
-831034,-0.623271,-0.623271,3.45347e-010,5.54089e-010,6008000,1000000,5008000,6.008
-458094,0.181763,0.181763,1.75591e-011,9.66044e-011,6010000,1001000,5009000,6.004
609577,0.999799,0.999802,3.07732e-006,3.07793e-006,5502000,502000,5000000,10.9602
409167,-0.631542,-0.631542,3.67779e-010,5.82351e-010,6506000,0,6506000,inf
-443709,-0.113706,-0.113706,1.71838e-011,1.51126e-010,6004000,1001000,5003000,5.998
471271,0.851165,0.851165,3.03579e-008,3.56663e-008,5676000,505000,5171000,11.2396
657518,0.953544,0.953545,3.28561e-007,3.44568e-007,5639000,0,5639000,inf
166359,-0.938064,-0.938065,2.1524e-007,2.29451e-007,5999000,0,5999000,inf
-30974.2,0.952555,0.952555,3.19355e-007,3.35261e-007,5066000,1003000,4063000,5.05085
-328370,0.898928,0.898928,8.4206e-008,9.36737e-008,5607000,1002000,4605000,5.59581
-806591,-0.11272,-0.11272,3.12409e-011,2.77156e-010,5535000,502000,5033000,11.0259
433238,-0.430425,-0.430425,1.1856e-011,2.75449e-011,5691000,1003000,4688000,5.67398
-609370,-0.971812,-0.971813,5.83891e-007,6.00827e-007,5654000,0,5654000,inf
664120,0.211697,0.211697,2.5302e-011,1.1952e-010,5287000,1503000,3784000,3.51763
519614,0.925531,0.925532,1.56869e-007,1.69491e-007,5536000,0,5536000,inf
-856232,0.517681,0.517681,5.95173e-011,1.14969e-010,6040000,667000,5373000,9.05547
-642337,-0.924262,-0.924263,1.52077e-007,1.64538e-007,5064000,1003000,4061000,5.04885
162445,-0.566959,-0.566959,9.02423e-011,1.59169e-010,5802000,1032000,4770000,5.62209
-551083,0.551526,0.551526,8.55289e-011,1.55077e-010,5543000,0,5543000,inf
45341.5,0.898569,0.898569,8.35237e-008,9.29519e-008,6096000,0,6096000,inf
-86323.8,0.762143,0.762143,5.16024e-009,6.7707e-009,6357000,0,6357000,inf
400490,-0.32987,-0.32987,1.45824e-011,4.42065e-011,6545000,0,6545000,inf
405221,0.0194771,0.0194771,1.57927e-011,8.10833e-010,6258000,0,6258000,inf
752226,-0.270386,-0.270386,2.82461e-011,1.04466e-010,6579000,0,6579000,inf
-73721.3,-0.641777,-0.641777,4.71853e-010,7.35229e-010,6032000,1000000,5032000,6.032
702215,-0.396756,-0.396756,2.38216e-011,6.00409e-011,5719000,0,5719000,inf
777770,-0.0440029,-0.0440029,3.02885e-011,6.88329e-010,5557000,1404000,4153000,3.95798
515021,0.722594,0.722594,2.39005e-009,3.3076e-009,5283000,1005000,4278000,5.25672
-866518,0.885793,0.885793,6.30173e-008,7.11423e-008,5466000,1004000,4462000,5.44422
-200535,-0.365617,-0.365617,7.78133e-012,2.12827e-011,5830000,0,5830000,inf
-491125,0.261926,0.261926,1.84646e-011,7.04952e-011,5632000,1001000,4631000,5.62637
-927838,-0.352157,-0.352157,3.41789e-011,9.70561e-011,6050000,1003000,5047000,6.0319
123389,-0.117721,-0.117721,4.77633e-012,4.05733e-011,5038000,1272000,3766000,3.96069
-765238,-0.366499,-0.366499,2.72339e-011,7.43082e-011,5670000,0,5670000,inf
-526462,0.184825,0.184825,2.01679e-011,1.09119e-010,6446000,1003000,5443000,6.42672
846405,-0.285848,-0.285848,3.16471e-011,1.10713e-010,5702000,0,5702000,inf
-849002,0.6983,0.6983,1.44618e-009,2.071e-009,6549000,1003000,5546000,6.52941
745918,0.263275,0.263275,2.80384e-011,1.06499e-010,5060000,1006000,4054000,5.02982
-939301,-0.561679,-0.561679,5.4602e-011,9.7212e-011,6582000,595000,5987000,11.0622
972182,-0.809951,-0.809951,1.32475e-008,1.63559e-008,5078000,1023000,4055000,4.96383
-17526.5,-0.439346,-0.439346,3.70187e-012,8.42587e-012,5769000,0,5769000,inf
-854271,-0.526401,-0.526401,9.68159e-012,1.8392e-011,6359000,1004000,5355000,6.33367
820824,0.815967,0.815967,1.49241e-008,1.829e-008,4706000,1130000,3576000,4.1646
