angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.449128,-0.449128,2.22104e-011,4.94523e-011,4020000,1002000,3018000,4.01198
-831034,-0.797015,-0.797015,1.58872e-007,1.99334e-007,4548000,0,4548000,inf
-458094,0.184842,0.184842,1.84668e-011,9.99063e-011,4525000,1012000,3513000,4.47134
609577,-49.9085,-10.5434,39.3652,0.788746,4016000,1002000,3014000,4.00798
409167,-0.814534,-0.814533,2.15514e-007,2.64586e-007,4011000,1005000,3006000,3.99104
-443709,0.114448,0.114448,1.75225e-011,1.53105e-010,4578000,0,4578000,inf
471271,1.62158,1.621,0.000582338,0.000359117,4562000,1007000,3555000,4.53029
657518,3.16526,3.10621,0.0590534,0.0186567,4604000,0,4604000,inf
166359,-2.70756,-2.68256,0.0249956,0.0092318,4137000,1012000,3125000,4.08794
-30974.2,-3.12964,-3.07394,0.0556927,0.0177953,4019000,1002000,3017000,4.01098
-328370,-2.0519,-2.04791,0.00398955,0.00194432,4014000,1002000,3012000,4.00599
-806591,-0.113443,-0.113443,3.18459e-011,2.80723e-010,3994000,1017000,2977000,3.92724
433238,-0.476858,-0.476858,7.58572e-011,1.59077e-010,4340000,1005000,3335000,4.31841
-609370,-4.12211,-3.92158,0.200532,0.0486479,4019000,1002000,3017000,4.01098
664120,0.216606,0.216606,2.71022e-011,1.25122e-010,4022000,1013000,3009000,3.97038
519614,2.44416,2.43082,0.0133392,0.00545758,4568000,0,4568000,inf
-856232,-0.605069,-0.605069,2.57212e-009,4.25095e-009,5020000,0,5020000,inf
-642337,-2.42107,-2.40852,0.0125494,0.00518341,5039000,1003000,4036000,5.02393
162445,-0.688269,-0.688269,1.88646e-008,2.74087e-008,4032000,1003000,3029000,4.01994
-551083,-0.661177,-0.661177,1.02577e-008,1.55142e-008,4179000,1003000,3176000,4.1665
45341.5,-2.04763,-2.0437,0.00392843,0.00191852,4233000,0,4233000,inf
-86323.8,1.17722,1.1772,2.27316e-005,1.93096e-005,4790000,1005000,3785000,4.76617
400490,-0.349429,-0.349429,1.77796e-011,5.08819e-011,3508000,1006000,2502000,3.48708
405221,0.0194808,0.0194808,1.58017e-011,8.11141e-010,4578000,1005000,3573000,4.55522
752226,0.280847,0.280847,3.16295e-011,1.12622e-010,4571000,0,4571000,inf
-73721.3,-0.836855,-0.836855,3.13301e-007,3.74378e-007,4305000,1003000,3302000,4.29212
702215,-0.432232,-0.432232,4.29835e-011,9.94452e-011,4070000,1504000,2566000,2.70612
777770,-0.0440455,-0.0440455,3.03766e-011,6.89664e-010,4627000,0,4627000,inf
515021,1.04531,1.0453,5.6252e-006,5.38137e-006,4124000,1503000,2621000,2.74385
-866518,-1.90871,-1.90641,0.00229523,0.00120251,4542000,0,4542000,inf
-200535,-0.392814,-0.392814,6.99518e-012,1.78079e-011,5225000,503000,4722000,10.3877
-491125,0.271402,0.271402,2.05573e-011,7.57448e-011,4191000,1001000,3190000,4.18681
-927838,-0.376259,-0.376259,4.03288e-011,1.07184e-010,4592000,511000,4081000,8.9863
123389,-0.118545,-0.118545,4.87736e-012,4.11434e-011,4102000,1005000,3097000,4.08159
-765238,0.393908,0.393908,3.65858e-011,9.28791e-011,4010000,1016000,2994000,3.94685
-526462,0.188065,0.188065,2.12476e-011,1.1298e-010,4099000,1002000,3097000,4.09082
846405,0.298295,0.298295,3.59133e-011,1.20395e-010,4031000,1488000,2543000,2.70901
-849002,0.975544,0.975542,2.38213e-006,2.44185e-006,4025000,1004000,3021000,4.00896
745918,-0.272903,-0.272903,3.12449e-011,1.14491e-010,3526000,1008000,2518000,3.49802
-939301,0.678885,0.678885,1.53978e-008,2.2681e-008,4192000,1005000,3187000,4.17114
972182,1.381,1.38087,0.000125785,9.10825e-005,4518000,0,4518000,inf
-17526.5,0.489076,0.489076,8.48713e-011,1.73534e-010,4693000,1011000,3682000,4.64194
-854271,0.619123,0.619123,3.79199e-009,6.12477e-009,4600000,0,4600000,inf
820824,1.41147,1.41131,0.000156616,0.00011096,5152000,0,5152000,inf
-961711,-0.840293,-0.840293,3.31398e-007,3.94383e-007,4523000,1010000,3513000,4.47822
-350186,0.895684,0.895683,7.85279e-007,8.76737e-007,4552000,0,4552000,inf
