angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.912219,1.35949e-007,1.49031e-007,6451000,480614000,-474163000,0.0134224
-831034,0.782006,0.782006,2.55211e-007,3.26354e-007,6091000,476432000,-470341000,0.0127846
-458094,0.983342,0.983343,1.96804e-007,2.00138e-007,5001000,477819000,-472818000,0.0104663
609577,-0.0200326,-0.0200308,1.82915e-006,9.13083e-005,6000000,478360000,-472360000,0.0125429
409167,0.775342,0.775341,8.29958e-007,1.07044e-006,5510000,478762000,-473252000,0.0115088
-443709,-0.993514,-0.993515,1.99477e-007,2.00779e-007,5004000,475970000,-470966000,0.0105133
471271,0.524898,0.524899,1.6088e-006,3.06499e-006,6000000,478509000,-472509000,0.0125389
657518,0.301253,0.301252,7.21726e-007,2.39575e-006,6001000,475588000,-469587000,0.0126181
166359,0.346461,0.346463,1.41335e-006,4.07939e-006,6000000,476299000,-470299000,0.0125971
-30974.2,-0.304366,-0.304368,1.53292e-006,5.03644e-006,6000000,475806000,-469806000,0.0126102
-328370,-0.438096,-0.438096,5.58348e-008,1.27449e-007,6000000,479776000,-473776000,0.0125058
-806591,0.993627,0.993627,1.46991e-007,1.47934e-007,5001000,477682000,-472681000,0.0104693
433238,0.902626,0.902627,8.04965e-007,8.91803e-007,6000000,479264000,-473264000,0.0125192
-609370,0.235756,0.235754,1.77976e-006,7.54916e-006,5999000,482274000,-476275000,0.012439
664120,0.977335,0.977335,2.25993e-007,2.31233e-007,6000000,476415000,-470415000,0.0125941
519614,0.378671,0.378671,2.15049e-007,5.67905e-007,7000000,477613000,-470613000,0.0146562
-856232,-0.855574,-0.855573,9.21643e-007,1.07722e-006,4999000,477912000,-472913000,0.0104601
-642337,0.381758,0.381758,5.33366e-007,1.39713e-006,6001000,477127000,-471126000,0.0125774
162445,0.823746,0.823746,3.41796e-007,4.14929e-007,5001000,479097000,-474096000,0.0104384
-551083,-0.834158,-0.834158,5.09562e-007,6.1087e-007,4999000,475530000,-470531000,0.0105125
45341.5,-0.438833,-0.438833,5.2988e-007,1.20748e-006,6000000,474477000,-468477000,0.0126455
-86323.8,0.647409,0.64741,1.02772e-006,1.58744e-006,6031000,475563000,-469532000,0.0126818
400490,0.944026,0.944027,5.3158e-007,5.63099e-007,6105000,476044000,-469939000,0.0128244
405221,0.99981,0.99981,1.23517e-008,1.23541e-008,6007000,475518000,-469511000,0.0126325
752226,-0.962752,-0.962752,4.07753e-007,4.23529e-007,6001000,475644000,-469643000,0.0126166
-73721.3,0.766891,0.76689,1.07544e-006,1.40234e-006,5353000,474960000,-469607000,0.0112704
702215,0.917924,0.917925,7.47443e-007,8.14275e-007,6000000,474680000,-468680000,0.0126401
