angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,3.02693e-007,7.38811e-007,5017000,466086000,-461069000,0.0107641
-831034,-0.623271,-0.62327,3.2021e-007,5.13757e-007,6000000,464314000,-458314000,0.0129223
-458094,0.181763,0.181762,1.06472e-006,5.85776e-006,5509000,468610000,-463101000,0.011756
609577,0.999799,0.999799,3.66477e-008,3.6655e-008,5000000,465385000,-460385000,0.0107438
409167,-0.631542,-0.631543,1.01893e-006,1.61341e-006,4999000,463913000,-458914000,0.0107757
-443709,-0.113706,-0.113704,1.74297e-006,1.53288e-005,6000000,466658000,-460658000,0.0128574
471271,0.851165,0.851164,9.92122e-007,1.1656e-006,6003000,470400000,-464397000,0.0127615
657518,0.953544,0.953545,2.28013e-007,2.39122e-007,5001000,471607000,-466606000,0.0106042
166359,-0.938064,-0.938064,5.22004e-007,5.56469e-007,5000000,471308000,-466308000,0.0106088
-30974.2,0.952555,0.952555,4.89811e-007,5.14207e-007,5000000,471443000,-466443000,0.0106057
-328370,0.898928,0.898928,2.72107e-008,3.02701e-008,5004000,467947000,-462943000,0.0106935
-806591,-0.11272,-0.112718,1.29574e-006,1.14953e-005,5998000,462454000,-456456000,0.0129699
433238,-0.430425,-0.430423,1.68806e-006,3.92186e-006,5000000,462744000,-457744000,0.0108051
-609370,-0.971812,-0.971813,4.31756e-007,4.44279e-007,6000000,466654000,-460654000,0.0128575
664120,0.211697,0.211698,1.04333e-006,4.92841e-006,5071000,471477000,-466406000,0.0107556
519614,0.925531,0.925531,8.79855e-008,9.50649e-008,5001000,469945000,-464944000,0.0106417
-856232,0.517681,0.517682,1.5232e-006,2.94235e-006,6007000,471002000,-464995000,0.0127537
-642337,-0.924262,-0.924262,2.20302e-007,2.38355e-007,5011000,469398000,-464387000,0.0106754
162445,-0.566959,-0.566959,4.96604e-007,8.75908e-007,6000000,469356000,-463356000,0.0127835
-551083,0.551526,0.551525,7.70691e-007,1.39738e-006,6063000,469192000,-463129000,0.0129222
45341.5,0.898569,0.898568,2.58778e-007,2.87989e-007,5000000,470275000,-465275000,0.0106321
-86323.8,0.762143,0.762142,8.7301e-007,1.14547e-006,5102000,470407000,-465305000,0.0108459
400490,-0.32987,-0.329869,1.52129e-006,4.61178e-006,5001000,469830000,-464829000,0.0106443
405221,0.0194771,0.0194778,6.34004e-007,3.25512e-005,6001000,470372000,-464371000,0.012758
752226,-0.270386,-0.270385,1.45187e-006,5.36963e-006,6197000,468821000,-462624000,0.0132183
-73721.3,-0.641777,-0.641778,1.28509e-006,2.0024e-006,5000000,461542000,-456542000,0.0108333
702215,-0.396756,-0.396755,1.72927e-006,4.35851e-006,5000000,476221000,-471221000,0.0104993
777770,-0.0440029,-0.0440044,1.51748e-006,3.44859e-005,6000000,479727000,-473727000,0.0125071
515021,0.722594,0.722593,9.70457e-007,1.34302e-006,5333000,481149000,-475816000,0.0110839
-866518,0.885793,0.885794,4.469e-007,5.04519e-007,4999000,480006000,-475007000,0.0104145
-200535,-0.365617,-0.365619,1.19755e-006,3.27543e-006,5000000,476581000,-471581000,0.0104914
-491125,0.261926,0.261928,1.10054e-006,4.20172e-006,6000000,478053000,-472053000,0.0125509
-927838,-0.352157,-0.352157,8.91959e-008,2.53285e-007,5093000,478702000,-473609000,0.0106392
123389,-0.117721,-0.11772,8.9196e-007,7.5769e-006,5998000,476386000,-470388000,0.0125906
-765238,-0.366499,-0.366499,1.14787e-008,3.13199e-008,5549000,474052000,-468503000,0.0117055
-526462,0.184825,0.184825,5.29248e-008,2.8635e-007,5018000,476235000,-471217000,0.0105368
846405,-0.285848,-0.285847,9.50966e-007,3.32682e-006,6031000,478290000,-472259000,0.0126095
-849002,0.6983,0.6983,5.52556e-008,7.91287e-008,6000000,470133000,-464133000,0.0127623
745918,0.263275,0.263275,2.63054e-008,9.99162e-008,6000000,476930000,-470930000,0.0125805
-939301,-0.561679,-0.561679,2.50059e-007,4.45199e-007,6000000,475433000,-469433000,0.0126201
972182,-0.809951,-0.809952,6.57897e-007,8.12267e-007,5400000,484173000,-478773000,0.011153
-17526.5,-0.439346,-0.439347,1.70191e-006,3.87374e-006,4999000,475864000,-470865000,0.0105051
-854271,-0.526401,-0.526402,7.44027e-007,1.41342e-006,6416000,481804000,-475388000,0.0133166
820824,0.815967,0.815967,3.00718e-007,3.68542e-007,5999000,476334000,-470335000,0.0125941
-961711,-0.643324,-0.643325,8.36512e-007,1.3003e-006,6000000,485491000,-479491000,0.0123586
-350186,0.667187,0.667185,1.37171e-006,2.05597e-006,6007000,484424000,-478417000,0.0124003
-534035,-0.999533,-0.999533,6.48495e-009,6.48798e-009,5128000,480326000,-475198000,0.0106761
216209,-0.975619,-0.975619,2.57249e-007,2.63678e-007,6009000,483512000,-477503000,0.0124278
631025,-0.981759,-0.981759,9.11958e-008,9.28901e-008,6068000,483020000,-476952000,0.0125626
287279,-0.705334,-0.705335,1.3067e-006,1.8526e-006,6071000,477386000,-471315000,0.0127172
-968453,-0.0442867,-0.0442864,2.82129e-007,6.37051e-006,6207000,480426000,-474219000,0.0129198
862018,0.0300244,0.0300259,1.54308e-006,5.13944e-005,6026000,488887000,-482861000,0.012326
177232,0.900478,0.900478,3.17575e-007,3.52674e-007,5183000,484575000,-479392000,0.010696
172012,-0.0827819,-0.0827834,1.47057e-006,1.77644e-005,6343000,484347000,-478004000,0.013096
244136,0.5345,0.534499,8.09342e-007,1.5142e-006,6006000,486088000,-480082000,0.0123558
-491787,-0.976749,-0.976749,1.15097e-008,1.17837e-008,6048000,482295000,-476247000,0.01254
74256.5,0.980732,0.980732,3.63962e-008,3.71112e-008,6002000,486913000,-480911000,0.0123266
-375559,-0.618822,-0.618822,6.86099e-007,1.10872e-006,4999000,484343000,-479344000,0.0103212
-179296,0.788364,0.788363,1.16239e-006,1.47444e-006,4235000,493688000,-489453000,0.00857829
-151215,0.930388,0.930388,1.29806e-007,1.39518e-007,4999000,486213000,-481214000,0.0102815
848151,0.257402,0.257402,6.39034e-007,2.48264e-006,6004000,500395000,-494391000,0.0119985
804978,0.928737,0.928737,1.6542e-007,1.78112e-007,6792000,499678000,-492886000,0.0135928
-800517,-0.885429,-0.885429,6.3265e-007,7.14512e-007,5395000,480781000,-475386000,0.0112213
393739,0.0729583,0.0729581,1.69207e-007,2.31923e-006,6007000,479701000,-473694000,0.0125224
-371859,-0.689651,-0.689651,6.39466e-007,9.27231e-007,5000000,484798000,-479798000,0.0103136
-946442,0.430152,0.430151,1.29876e-006,3.0193e-006,5000000,484670000,-479670000,0.0103163
261935,0.99525,0.99525,3.25321e-008,3.26874e-008,6000000,482103000,-476103000,0.0124455
587251,-0.667032,-0.667032,9.27522e-008,1.39052e-007,6002000,481843000,-475841000,0.0124563
158528,0.136144,0.136143,9.02544e-007,6.62934e-006,6000000,476421000,-470421000,0.0125939
-650367,-0.560561,-0.560561,4.90312e-007,8.74682e-007,5509000,497861000,-492352000,0.0110653
644935,-0.188027,-0.188026,1.27801e-006,6.79695e-006,6005000,485678000,-479673000,0.0123642
-395154,0.9492,0.949199,4.81224e-007,5.06979e-007,4999000,482112000,-477113000,0.010369
526782,0.24059,0.240589,1.32443e-006,5.50491e-006,6000000,479883000,-473883000,0.012503
377425,0.269969,0.26997,1.10812e-006,4.10461e-006,6006000,480127000,-474121000,0.0125092
950659,0.0456275,0.0456278,3.35854e-007,7.36078e-006,6000000,479615000,-473615000,0.01251
-11888,-0.234472,-0.234471,7.82139e-007,3.33575e-006,5187000,481169000,-475982000,0.01078
661137,0.975762,0.975762,3.45073e-008,3.53644e-008,5151000,482745000,-477594000,0.0106702
274357,0.990456,0.990457,1.82065e-007,1.83819e-007,4999000,486065000,-481066000,0.0102846
-542349,0.262594,0.262594,6.76889e-008,2.5777e-007,5507000,484325000,-478818000,0.0113705
-193259,-0.784737,-0.784738,5.83993e-007,7.4419e-007,5017000,480904000,-475887000,0.0104324
-372006,0.459903,0.459904,1.54979e-006,3.36981e-006,5174000,478894000,-473720000,0.0108041
601429,0.708779,0.70878,5.52613e-007,7.79669e-007,6007000,482352000,-476345000,0.0124536
-247536,0.085051,0.0850527,1.74899e-006,2.05641e-005,5999000,481112000,-475113000,0.012469
949161,-0.548051,-0.548052,8.17107e-007,1.49093e-006,5000000,487350000,-482350000,0.0102596
369196,0.901145,0.901144,6.6785e-007,7.41113e-007,5484000,474693000,-469209000,0.0115527
805927,0.919716,0.919716,6.6235e-007,7.20168e-007,5956000,478509000,-472553000,0.012447
-248458,-0.951975,-0.951975,2.67025e-007,2.80496e-007,5008000,478056000,-473048000,0.0104758
-255643,0.739704,0.739703,9.36203e-007,1.26564e-006,6000000,477760000,-471760000,0.0125586
-325730,0.347739,0.34774,1.16504e-006,3.35032e-006,5369000,484424000,-479055000,0.0110833
317173,-0.826023,-0.826024,8.6516e-007,1.04738e-006,5000000,485144000,-480144000,0.0103062
-220519,0.971574,0.971574,3.86472e-007,3.9778e-007,5092000,485901000,-480809000,0.0104795
-968943,-0.750794,-0.750794,4.05057e-007,5.39504e-007,6000000,484856000,-478856000,0.0123748
-940128,0.0670548,0.0670561,1.25725e-006,1.87495e-005,5001000,485324000,-480323000,0.0103045
