angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.449128,-0.449128,3.98755e-007,8.87842e-007,5480000,511875000,-506395000,0.0107057
-831034,-0.797015,-0.797015,6.69582e-007,8.40111e-007,4598000,525468000,-520870000,0.00875029
-458094,0.184842,0.18484,1.11975e-006,6.0579e-006,3506000,501188000,-497682000,0.00699538
609577,-49.9085,-49.9131,0.00455931,9.13533e-005,5348000,503617000,-498269000,0.0106192
409167,-0.814534,-0.814536,2.18609e-006,2.68385e-006,3999000,502692000,-498693000,0.00795517
-443709,0.114448,0.114446,1.77733e-006,1.55296e-005,5005000,493479000,-488474000,0.0101423
471271,1.62158,1.62158,6.86023e-006,4.23058e-006,4014000,514763000,-510749000,0.00779776
657518,3.16526,3.16527,8.34008e-006,2.63488e-006,5208000,509779000,-504571000,0.0102162
166359,-2.70756,-2.70755,1.25518e-005,4.63584e-006,6504000,522115000,-515611000,0.012457
-30974.2,-3.12964,-3.12962,1.73714e-005,5.55062e-006,4135000,486404000,-482269000,0.00850116
-328370,-2.0519,-2.0519,3.23623e-007,1.57719e-007,5450000,480261000,-474811000,0.011348
-806591,-0.113443,-0.113441,1.32084e-006,1.16432e-005,4872000,478941000,-474069000,0.0101724
433238,-0.476858,-0.476856,2.29543e-006,4.81365e-006,4071000,469834000,-465763000,0.00866476
-609370,-4.12211,-4.12215,3.29501e-005,7.9935e-006,4505000,471196000,-466691000,0.00956078
664120,0.216606,0.216607,1.11761e-006,5.15964e-006,4645000,469219000,-464574000,0.00989943
519614,2.44416,2.44416,1.6204e-006,6.62969e-007,5011000,473454000,-468443000,0.0105839
-856232,-0.605069,-0.605071,2.43212e-006,4.01958e-006,4020000,484255000,-480235000,0.00830141
-642337,-2.42107,-2.42107,3.95962e-006,1.63548e-006,4000000,483645000,-479645000,0.00827053
162445,-0.688269,-0.688268,8.88443e-007,1.29084e-006,4253000,480014000,-475761000,0.00886016
-551083,-0.661177,-0.661176,1.32781e-006,2.00825e-006,4265000,482560000,-478295000,0.00883828
45341.5,-2.04763,-2.04763,3.06216e-006,1.49546e-006,4360000,559347000,-554987000,0.0077948
-86323.8,1.17722,1.17722,3.21723e-006,2.7329e-006,4135000,493101000,-488966000,0.00838571
400490,-0.349429,-0.349427,1.80825e-006,5.17487e-006,4497000,490251000,-485754000,0.00917285
405221,0.0194808,0.0194815,6.34365e-007,3.25635e-005,4009000,477290000,-473281000,0.00839951
752226,0.280847,0.280846,1.62699e-006,5.79315e-006,4652000,476157000,-471505000,0.00976989
-73721.3,-0.836855,-0.836858,2.84928e-006,3.40474e-006,4190000,477315000,-473125000,0.00877827
702215,-0.432232,-0.43223,2.23584e-006,5.17278e-006,3641000,476445000,-472804000,0.00764202
777770,-0.0440455,-0.0440471,1.5219e-006,3.45528e-005,4690000,481835000,-477145000,0.00973362
515021,1.04531,1.04531,2.93783e-006,2.81049e-006,4008000,507238000,-503230000,0.00790162
-866518,-1.90871,-1.90871,4.47129e-006,2.34257e-006,3596000,500218000,-496622000,0.00718887
-200535,-0.392814,-0.392815,1.48517e-006,3.78084e-006,3826000,501943000,-498117000,0.00762238
-491125,0.271402,0.271403,1.22435e-006,4.51121e-006,4696000,514064000,-509368000,0.00913505
-927838,-0.376259,-0.376259,1.08793e-007,2.89143e-007,5330000,504434000,-499104000,0.0105663
123389,-0.118545,-0.118544,9.10828e-007,7.68337e-006,5017000,489600000,-484583000,0.0102471
-765238,0.393908,0.393908,1.42512e-008,3.6179e-008,5049000,506115000,-501066000,0.00997599
-526462,0.188065,0.188065,5.57571e-008,2.96478e-007,5122000,492715000,-487593000,0.0103955
846405,0.298295,0.298293,1.08067e-006,3.62284e-006,3764000,492774000,-489010000,0.00763839
-849002,0.975544,0.975544,1.50656e-007,1.54433e-007,5118000,536188000,-531070000,0.00954516
745918,-0.272903,-0.272903,2.9298e-008,1.07357e-007,5072000,505495000,-500423000,0.0100337
-939301,0.678885,0.678885,4.41536e-007,6.50383e-007,5013000,504949000,-499936000,0.00992774
972182,1.381,1.381,3.26107e-006,2.36139e-006,4012000,501986000,-497974000,0.00799225
-17526.5,0.489076,0.489078,2.34772e-006,4.80032e-006,4253000,507723000,-503470000,0.00837661
-854271,0.619123,0.619124,1.21052e-006,1.95521e-006,5742000,507969000,-502227000,0.0113038
820824,1.41147,1.41147,1.55652e-006,1.10276e-006,4747000,507703000,-502956000,0.00934995
-961711,-0.840293,-0.840295,1.86413e-006,2.21843e-006,5003000,505472000,-500469000,0.00989768
-350186,0.895684,0.895681,3.31883e-006,3.70535e-006,4000000,490582000,-486582000,0.00815358
-534035,32.6994,32.6997,0.000227081,6.94449e-006,4661000,489754000,-485093000,0.00951702
216209,4.44533,4.44531,2.43344e-005,5.47415e-006,4517000,509890000,-505373000,0.00885877
631025,5.16369,5.1637,1.32692e-005,2.56971e-006,6018000,533234000,-527216000,0.0112859
287279,-0.995004,-0.995008,3.66833e-006,3.68675e-006,6034000,554005000,-547971000,0.0108916
-968453,-0.0443302,-0.0443299,2.82961e-007,6.38303e-006,6029000,524334000,-518305000,0.0114984
862018,-0.0300379,-0.0300395,1.54517e-006,5.14408e-005,5601000,561043000,-555442000,0.00998319
177232,-2.07053,-2.07054,3.86078e-006,1.86463e-006,5005000,524628000,-519623000,0.00954009
172012,0.083067,0.0830685,1.48582e-006,1.7887e-005,4219000,514930000,-510711000,0.00819335
244136,-0.632418,-0.632417,1.34061e-006,2.11981e-006,6004000,570008000,-564004000,0.0105332
-491787,4.55605,4.55605,1.16816e-006,2.56398e-007,7020000,590690000,-583670000,0.0118844
74256.5,-5.02012,-5.02012,4.88152e-006,9.72391e-007,6510000,574963000,-568453000,0.0113225
-375559,-0.787776,-0.787774,1.41545e-006,1.79677e-006,5178000,549753000,-544575000,0.00941878
-179296,1.28146,1.28145,4.99211e-006,3.89565e-006,4003000,495532000,-491529000,0.00807819
-151215,-2.53804,-2.53804,2.6351e-006,1.03824e-006,5006000,492517000,-487511000,0.0101641
848151,-0.266377,-0.266378,7.08243e-007,2.6588e-006,5017000,494784000,-489767000,0.0101398
804978,2.50509,2.50509,3.24622e-006,1.29585e-006,5014000,491997000,-486983000,0.0101911
-800517,-1.90508,-1.90507,6.30139e-006,3.30768e-006,4503000,502340000,-497837000,0.00896405
393739,-0.0731533,-0.0731531,1.70567e-007,2.33164e-006,5003000,502530000,-497527000,0.00995562
-371859,-0.952369,-0.952371,1.68402e-006,1.76824e-006,4697000,519361000,-514664000,0.00904381
-946442,0.476488,0.476486,1.76529e-006,3.7048e-006,6113000,520819000,-514706000,0.0117373
261935,-10.2231,-10.2231,3.52592e-005,3.44897e-006,4506000,504598000,-500092000,0.00892988
587251,-0.89531,-0.895309,2.24286e-007,2.50512e-007,5275000,501678000,-496403000,0.0105147
158528,-0.137424,-0.137423,9.28231e-007,6.75453e-006,5014000,490246000,-485232000,0.0102275
-650367,-0.676913,-0.676914,8.63384e-007,1.27547e-006,4092000,496429000,-492337000,0.00824287
644935,0.191442,0.19144,1.34891e-006,7.04605e-006,4549000,643379000,-638830000,0.00707048
-395154,-3.01645,-3.01643,1.54439e-005,5.11991e-006,4136000,510676000,-506540000,0.00809907
526782,0.247871,0.24787,1.44834e-006,5.84312e-006,4611000,494750000,-490139000,0.00931986
377425,0.280379,0.280381,1.24132e-006,4.42729e-006,4320000,518537000,-514217000,0.00833113
950659,0.045675,0.0456754,3.36906e-007,7.37614e-006,5402000,517793000,-512391000,0.0104327
-11888,-0.241196,-0.241195,8.51374e-007,3.5298e-006,3811000,511450000,-507639000,0.00745136
661137,-4.45889,-4.45889,3.2927e-006,7.38456e-007,4641000,507480000,-502839000,0.00914519
274357,-7.18628,-7.18635,6.95409e-005,9.67689e-006,5089000,515036000,-509947000,0.00988086
-542349,-0.272144,-0.272144,7.53462e-008,2.76861e-007,5015000,547182000,-542167000,0.00916514
-193259,-1.26605,-1.26606,2.45241e-006,1.93705e-006,4508000,493528000,-489020000,0.00913423
-372006,-0.517927,-0.517929,2.21349e-006,4.27376e-006,5012000,520919000,-515907000,0.00962146
601429,-1.00475,-1.00475,1.5742e-006,1.56676e-006,4001000,505008000,-501007000,0.00792265
-247536,-0.0853602,-0.085362,1.76814e-006,2.07139e-005,6505000,498459000,-491954000,0.0130502
949161,0.655215,0.655217,1.39626e-006,2.131e-006,4018000,491635000,-487617000,0.00817273
369196,-2.07868,-2.07867,8.19699e-006,3.94337e-006,4009000,484517000,-480508000,0.00827422
805927,-2.34272,-2.34273,1.09468e-005,4.67271e-006,4999000,488647000,-483648000,0.0102303
-248458,3.10925,3.10924,9.30332e-006,2.99215e-006,4697000,483619000,-478922000,0.00971219
-255643,1.09923,1.09922,3.07224e-006,2.79491e-006,3999000,483136000,-479137000,0.00827717
-325730,-0.370885,-0.370886,1.41351e-006,3.81118e-006,3577000,481072000,-477495000,0.00743548
317173,1.46552,1.46553,4.8317e-006,3.29691e-006,4517000,500562000,-496045000,0.00902386
-220519,-4.10401,-4.10403,2.91286e-005,7.09761e-006,5009000,487520000,-482511000,0.0102745
