angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.911036,0.00118242,0.00129621,6073000,1000000,5073000,6.073
-831034,0.782006,0.781612,0.000394087,0.000503944,5000000,1000000,4000000,5
-458094,0.983342,0.981813,0.00152941,0.00155532,5514000,999000,4515000,5.51952
609577,-0.0200326,-0.0199819,5.06858e-005,0.00253016,5304000,1000000,4304000,5.304
409167,0.775342,0.774918,0.000423355,0.000546023,6001000,1001000,5000000,5.995
-443709,-0.993514,-0.992052,0.00146215,0.00147169,5073000,1001000,4072000,5.06793
471271,0.524898,0.524909,1.10111e-005,2.09776e-005,5005000,1000000,4005000,5.005
657518,0.301253,0.300783,0.000469713,0.0015592,6000000,999000,5001000,6.00601
166359,0.346461,0.346074,0.000387164,0.00111748,5000000,1001000,3999000,4.995
-30974.2,-0.304366,-0.303894,0.000471789,0.00155007,5999000,1001000,4998000,5.99301
-328370,-0.438096,-0.437959,0.000137671,0.000314249,4999000,1001000,3998000,4.99401
-806591,0.993627,0.992166,0.00146118,0.00147055,6000000,0,6000000,inf
433238,0.902626,0.901407,0.00121914,0.00135066,6113000,0,6113000,inf
-609370,0.235756,0.235378,0.000377333,0.00160052,5999000,1000000,4999000,5.999
664120,0.977335,0.975814,0.001521,0.00155627,5000000,1000000,4000000,5
519614,0.378671,0.378418,0.000252512,0.000666838,6084000,1000000,5084000,6.084
-856232,-0.855574,-0.855049,0.000524723,0.000613299,5000000,1000000,4000000,5
-642337,0.381758,0.381518,0.000239775,0.000628081,5503000,1005000,4498000,5.47562
162445,0.823746,0.823436,0.000310136,0.000376495,5000000,1000000,4000000,5
-551083,-0.834158,-0.833814,0.000343375,0.000411643,5000000,1000000,4000000,5
45341.5,-0.438833,-0.438694,0.000139015,0.000316784,5000000,1000000,4000000,5
-86323.8,0.647409,0.647643,0.000234105,0.000361602,6000000,1001000,4999000,5.99401
400490,0.944026,0.942972,0.00105424,0.00111675,4999000,1000000,3999000,4.999
405221,0.99981,0.998361,0.00144934,0.00144962,5000000,1000000,4000000,5
752226,-0.962752,-0.961602,0.00115003,0.00119452,5000000,1000000,4000000,5
-73721.3,0.766891,0.766431,0.000460756,0.000600811,5000000,1000000,4000000,5
702215,0.917924,0.91677,0.00115429,0.0012575,5000000,1000000,4000000,5
777770,0.999031,0.997595,0.00143657,0.00143796,6000000,1000000,5000000,6
515021,0.691273,0.691424,0.000151596,0.0002193,5000000,999000,4001000,5.00501
-866518,-0.46408,-0.463831,0.000249156,0.000536881,6001000,1000000,5001000,6.001
-200535,0.930765,0.929675,0.00109015,0.00117124,5000000,1000000,4000000,5
-491125,0.965088,0.963907,0.00118109,0.00122382,5004000,1000000,4004000,5.004
-927838,0.935941,0.934871,0.00107011,0.00114335,5088000,1000000,4088000,5.088
123389,0.993047,0.99158,0.00146624,0.00147651,5000000,1505000,3495000,3.32226
-765238,-0.930418,-0.929327,0.00109169,0.00117333,5005000,1000000,4005000,5.005
-526462,0.982771,0.981241,0.00153055,0.00155738,5000000,1008000,3992000,4.96032
846405,-0.958275,-0.957171,0.00110435,0.00115244,4992000,999000,3993000,4.997
-849002,0.715805,0.715264,0.000541408,0.000756362,5001000,1000000,4001000,5.001
745918,-0.964721,-0.963545,0.00117586,0.00121886,4999000,1001000,3998000,4.99401
-939301,-0.827355,-0.827037,0.000318223,0.000384627,6000000,0,6000000,inf
972182,-0.586498,-0.586491,6.82783e-006,1.16417e-005,6000000,1000000,5000000,6
-17526.5,-0.898318,-0.897089,0.00122878,0.00136786,6535000,999000,5536000,6.54154
-854271,-0.850236,-0.849773,0.000463198,0.000544787,5002000,997000,4005000,5.01705
820824,0.578098,0.578063,3.52269e-005,6.09359e-005,6000000,1001000,4999000,5.99401
-961711,0.765594,0.765128,0.000466362,0.00060915,4999000,1000000,3999000,4.999
-350186,0.744891,0.74435,0.000540332,0.000725384,5000000,1000000,4000000,5
-534035,-0.0305673,-0.0305139,5.33706e-005,0.001746,6000000,1000000,5000000,6
