angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409555,0.0001481,0.000361481,5998000,999000,4999000,6.004
-831034,-0.623271,-0.622492,0.000778368,0.00124884,5000000,1000000,4000000,5
-458094,0.181763,0.181974,0.000211298,0.00116249,6000000,1001000,4999000,5.99401
609577,0.999799,0.99835,0.00144896,0.00144926,5000000,1066000,3934000,4.69043
409167,-0.631542,-0.6308,0.000742146,0.00117513,6000000,1000000,5000000,6
-443709,-0.113706,-0.113911,0.000205188,0.00180455,5069000,1000000,4069000,5.069
471271,0.851165,0.851158,6.84985e-006,8.04761e-006,5146000,1000000,4146000,5.146
657518,0.953544,0.952471,0.00107348,0.00112578,5506000,1005000,4501000,5.47861
166359,-0.938064,-0.937,0.0010638,0.00113404,4999000,1000000,3999000,4.999
-30974.2,0.952555,0.951486,0.00106902,0.00112226,5001000,999000,4002000,5.00601
-328370,0.898928,0.8977,0.00122773,0.00136577,6002000,1000000,5002000,6.002
-806591,-0.11272,-0.112921,0.000201801,0.00179029,4999000,1002000,3997000,4.98902
433238,-0.430425,-0.430296,0.000129077,0.000299882,5997000,1000000,4997000,5.997
-609370,-0.971812,-0.970343,0.00146898,0.00151159,5001000,999000,4002000,5.00601
664120,0.211697,0.21167,2.69259e-005,0.000127191,6001000,1001000,5000000,5.995
519614,0.925531,0.924416,0.00111502,0.00120474,4998000,1000000,3998000,4.998
-856232,0.517681,0.517451,0.000230149,0.000444576,5000000,1000000,4000000,5
-642337,-0.924262,-0.923141,0.00112146,0.00121336,5242000,1007000,4235000,5.20556
162445,-0.566959,-0.566155,0.000804324,0.00141866,6000000,1000000,5000000,6
-551083,0.551526,0.550825,0.000701027,0.00127107,6003000,1004000,4999000,5.97908
45341.5,0.898569,0.89734,0.00122836,0.00136702,4994000,999000,3995000,4.999
-86323.8,0.762143,0.761933,0.000210333,0.000275975,5004000,1000000,4004000,5.004
400490,-0.32987,-0.329429,0.000440958,0.00133676,6000000,1000000,5000000,6
405221,0.0194771,0.019427,5.01255e-005,0.00257356,5509000,1000000,4509000,5.509
752226,-0.270386,-0.270029,0.000357362,0.00132167,5000000,1002000,3998000,4.99002
-73721.3,-0.641777,-0.641084,0.000693198,0.00108012,5999000,999000,5000000,6.00501
702215,-0.396756,-0.396573,0.000183839,0.000463354,5000000,1000000,4000000,5
777770,-0.0440029,-0.0439653,3.75535e-005,0.000853433,6000000,1000000,5000000,6
515021,0.722594,0.722449,0.000145072,0.000200765,5001000,999000,4002000,5.00601
-866518,0.885793,0.884571,0.00122188,0.00137942,6001000,999000,5002000,6.00701
