angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.449128,-0.44872,0.000408541,0.000909632,3849000,1001000,2848000,3.84515
-831034,-0.797015,-0.795271,0.00174426,0.00218849,5000000,999000,4001000,5.00501
-458094,0.184842,0.184746,9.58605e-005,0.000518609,4005000,999000,3006000,4.00901
609577,-49.9085,-49.9258,0.0172384,0.0003454,3996000,1000000,2996000,3.996
409167,-0.814534,-0.812953,0.00158053,0.00194041,5008000,0,5008000,inf
-443709,0.114448,0.114446,1.56501e-006,1.36745e-005,4996000,1004000,3992000,4.9761
471271,1.62158,1.61968,0.00190446,0.00117444,4503000,1004000,3499000,4.48506
657518,3.16526,3.15899,0.00627793,0.00198338,4000000,1000000,3000000,4
166359,-2.70756,-2.70738,0.000181878,6.71743e-005,4000000,1000000,3000000,4
-30974.2,-3.12964,-3.12398,0.00565907,0.00180822,5001000,999000,4002000,5.00601
-328370,-2.0519,-2.04681,0.005082,0.00247673,4000000,1000000,3000000,4
-806591,-0.113443,-0.113439,3.3776e-006,2.97736e-005,4000000,1000000,3000000,4
433238,-0.476858,-0.476552,0.000305984,0.000641667,4000000,1001000,2999000,3.996
-609370,-4.12211,-4.11071,0.0114061,0.00276706,4999000,1000000,3999000,4.999
664120,0.216606,0.216221,0.000385622,0.00178029,4183000,999000,3184000,4.18719
519614,2.44416,2.43869,0.00547287,0.00223916,4000000,1000000,3000000,4
-856232,-0.605069,-0.603472,0.00159657,0.00263866,4000000,1000000,3000000,4
-642337,-2.42107,-2.41439,0.00668264,0.0027602,5000000,1000000,4000000,5
162445,-0.688269,-0.68599,0.00227893,0.00331111,4000000,1000000,3000000,4
-551083,-0.661177,-0.658983,0.00219431,0.00331879,4000000,1000000,3000000,4
45341.5,-2.04763,-2.04266,0.00496891,0.00242666,4000000,1000000,3000000,4
-86323.8,1.17722,1.17296,0.00426221,0.00362057,4000000,1000000,3000000,4
400490,-0.349429,-0.348519,0.000910433,0.00260549,4000000,1000000,3000000,4
405221,0.0194808,0.0193938,8.70476e-005,0.00446837,5004000,1000000,4004000,5.004
752226,0.280847,0.280044,0.00080285,0.00285867,4000000,1000000,3000000,4
-73721.3,-0.836855,-0.835495,0.00136065,0.00162591,4000000,1000000,3000000,4
702215,-0.432232,-0.431738,0.000494085,0.0011431,4509000,1000000,3509000,4.509
777770,-0.0440455,-0.0439245,0.000121033,0.0027479,4000000,1000000,3000000,4
515021,1.04531,1.04123,0.00407928,0.00390246,5000000,0,5000000,inf
-866518,-1.90871,-1.9066,0.00210659,0.00110367,5000000,1000000,4000000,5
-200535,-0.392814,-0.392097,0.000716927,0.00182511,4001000,1006000,2995000,3.97714
-491125,0.271402,0.270677,0.00072437,0.002669,3993000,1000000,2993000,3.993
-927838,-0.376259,-0.375456,0.000803503,0.0021355,5000000,0,5000000,inf
123389,-0.118545,-0.118551,5.34713e-006,4.51062e-005,5000000,1000000,4000000,5
-765238,0.393908,0.393197,0.000710873,0.00180467,4002000,998000,3004000,4.01002
-526462,0.188065,0.187949,0.000116193,0.000617832,4375000,1000000,3375000,4.375
846405,0.298295,0.297394,0.000900783,0.00301978,4000000,1000000,3000000,4
-849002,0.975544,0.975281,0.000263017,0.00026961,4000000,1000000,3000000,4
745918,-0.272903,-0.272164,0.000738117,0.00270469,5000000,1000000,4000000,5
-939301,0.678885,0.676623,0.00226262,0.00333285,4000000,1000000,3000000,4
972182,1.381,1.37891,0.00208626,0.0015107,4000000,1000000,3000000,4
-17526.5,0.489076,0.488794,0.000282112,0.000576826,4000000,1000000,3000000,4
-854271,0.619123,0.617317,0.0018066,0.002918,5003000,0,5003000,inf
820824,1.41147,1.40976,0.00170663,0.00120911,5000000,1000000,4000000,5
-961711,-0.840293,-0.838967,0.00132622,0.00157828,4000000,1000000,3000000,4
-350186,0.895684,0.894896,0.000787673,0.000879409,4509000,1001000,3508000,4.5045
-534035,32.6994,32.7075,0.00811548,0.000248184,4000000,999000,3001000,4.004
216209,4.44533,4.43307,0.012264,0.00275886,4129000,1000000,3129000,4.129
631025,5.16369,5.14302,0.0206678,0.00400253,4267000,1007000,3260000,4.23734
287279,-0.995004,-0.994787,0.000217341,0.000218432,5001000,999000,4002000,5.00601
-968453,-0.0443302,-0.0442091,0.000121034,0.00273028,4001000,1002000,2999000,3.99301
862018,-0.0300379,-0.0299274,0.000110558,0.00368063,3997000,1000000,2997000,3.997
177232,-2.07053,-2.06494,0.00559694,0.00270314,5000000,1001000,3999000,4.995
172012,0.083067,0.0829981,6.88958e-005,0.0008294,4000000,999000,3001000,4.004
244136,-0.632418,-0.630452,0.00196643,0.00310939,4002000,999000,3003000,4.00601
-491787,4.55605,4.54388,0.0121609,0.00266917,3999000,1495000,2504000,2.67492
74256.5,-5.02012,-5.00367,0.0164446,0.00327575,4024000,1241000,2783000,3.24255
-375559,-0.787776,-0.78595,0.0018257,0.00231754,4652000,0,4652000,inf
-179296,1.28146,1.27813,0.00333008,0.00259867,4869000,1000000,3869000,4.869
-151215,-2.53804,-2.53601,0.002033,0.000801009,4000000,1000000,3000000,4
848151,-0.266377,-0.265046,0.00133118,0.00499737,5000000,1000000,4000000,5
804978,2.50509,2.5021,0.00299443,0.00119534,4005000,998000,3007000,4.01303
-800517,-1.90508,-1.90303,0.00204984,0.00107599,4000000,1001000,2999000,3.996
393739,-0.0731533,-0.0730639,8.93802e-005,0.00122182,4999000,504000,4495000,9.91865
-371859,-0.952369,-0.952003,0.000366043,0.00038435,4023000,1113000,2910000,3.61456
-946442,0.476488,0.476181,0.00030694,0.000644172,4008000,1000000,3008000,4.008
261935,-10.2231,-10.1588,0.0642728,0.00628703,5000000,1000000,4000000,5
587251,-0.89531,-0.894519,0.000791045,0.000883544,4000000,1000000,3000000,4
158528,-0.137424,-0.137447,2.39347e-005,0.000174168,4000000,1000000,3000000,4
-650367,-0.676913,-0.674656,0.0022575,0.003335,4000000,1000000,3000000,4
644935,0.191442,0.191302,0.00013952,0.000728784,5000000,1000000,4000000,5
-395154,-3.01645,-3.01276,0.00369018,0.00122335,4000000,1000000,3000000,4
526782,0.247871,0.246972,0.000899326,0.0036282,4002000,998000,3004000,4.01002
377425,0.280379,0.27958,0.000799404,0.00285115,4185000,1001000,3184000,4.18082
950659,0.045675,0.0455541,0.000120936,0.00264774,4999000,0,4999000,inf
-11888,-0.241196,-0.240428,0.000767997,0.00318412,4999000,1000000,3999000,4.999
661137,-4.45889,-4.44663,0.0122576,0.00274902,4000000,1000000,3000000,4
274357,-7.18628,-7.15111,0.0351723,0.00489436,4000000,1000000,3000000,4
-542349,-0.272144,-0.271413,0.000731235,0.00268694,4000000,1000000,3000000,4
-193259,-1.26605,-1.26255,0.00350385,0.00276753,5000000,1000000,4000000,5
-372006,-0.517927,-0.517631,0.000295551,0.000570642,4004000,1000000,3004000,4.004
601429,-1.00475,-1.00118,0.00356622,0.00354937,4001000,999000,3002000,4.00501
-247536,-0.0853602,-0.0852964,6.38363e-005,0.000747846,5001000,505000,4496000,9.90297
949161,0.655215,0.653056,0.00215949,0.00329585,4004000,1000000,3004000,4.004
369196,-2.07868,-2.07285,0.00583276,0.00280599,4000000,1000000,3000000,4
805927,-2.34272,-2.33293,0.00978628,0.00417732,5000000,1000000,4000000,5
-248458,3.10925,3.10394,0.00530252,0.0017054,4000000,1000000,3000000,4
-255643,1.09923,1.09483,0.00439826,0.00400124,4000000,1000000,3000000,4
-325730,-0.370885,-0.370056,0.000828884,0.00223488,4000000,1000000,3000000,4
317173,1.46552,1.46443,0.00109475,0.000747003,5000000,0,5000000,inf
-220519,-4.10401,-4.09273,0.0112775,0.00274792,5000000,1000000,4000000,5
-968943,-1.13664,-1.13223,0.00441035,0.00388016,4000000,1000000,3000000,4
-940128,0.0672061,0.0671061,0.000100023,0.0014883,4000000,1000000,3000000,4
-71663.1,-0.23207,-0.231462,0.000608099,0.00262032,5000000,0,5000000,inf
754917,51.1797,51.1744,0.00530985,0.000103749,5000000,1000000,4000000,5
-139925,1.91346,1.91128,0.00218199,0.00114034,4000000,1001000,2999000,3.996
-289841,-2.18191,-2.17246,0.00944157,0.00432721,3999000,1000000,2999000,3.999
-715375,0.381736,0.38096,0.000776097,0.00203307,5109000,0,5109000,inf
893923,-5.09259,-5.07401,0.0185783,0.0036481,5000000,1000000,4000000,5
626230,1.1418,1.1374,0.00440022,0.00385377,4004000,1000000,3004000,4.004
-920520,1.59299,1.59162,0.00137003,0.000860039,3999000,999000,3000000,4.003
-636484,-0.96414,-0.963832,0.000307584,0.000319024,4000000,1502000,2498000,2.66312
-416193,-13.314,-13.2577,0.0562604,0.00422567,4004000,1000000,3004000,4.004
-928600,1.61314,1.6114,0.0017397,0.00107845,5000000,1000000,4000000,5
-725649,-1.21736,-1.21338,0.00398089,0.00327011,4001000,999000,3002000,4.00501
653679,6.83359,6.7953,0.0382895,0.00560313,4000000,1000000,3000000,4
-262700,-0.154838,-0.154852,1.35846e-005,8.77339e-005,5076000,999000,4077000,5.08108
689125,0.517147,0.516853,0.000293708,0.00056794,4000000,1001000,2999000,3.996
-99888.8,2.92548,2.92326,0.00221633,0.000757598,3999000,1000000,2999000,3.999
170701,-0.325467,-0.324518,0.000949576,0.00291758,4000000,1000000,3000000,4
-615775,-0.927255,-0.926728,0.000527794,0.0005692,5002000,998000,4004000,5.01202
-640224,0.914723,0.914098,0.000624539,0.000682763,4000000,1000000,3000000,4
262255,25.4354,25.3507,0.0847374,0.00333147,5000000,2000000,3000000,2.5
949809,-9.32755,-9.28438,0.0431705,0.00462828,4000000,1000000,3000000,4
807994,2.20761,2.19808,0.00952295,0.0043137,4000000,1000000,3000000,4
389343,-1.13544,-1.13102,0.00441233,0.00388602,5000000,1000000,4000000,5
-645626,-0.441903,-0.44146,0.000443559,0.00100375,4000000,1000000,3000000,4
-571400,-0.87967,-0.878734,0.000936535,0.00106464,4331000,1197000,3134000,3.61821
636628,-0.491426,-0.491147,0.00027934,0.000568428,4000000,997000,3003000,4.01204
915060,-2.73102,-2.73079,0.0002298,8.41445e-005,4326000,1079000,3247000,4.00927
-351291,-2.43015,-2.42396,0.00618778,0.00254626,4516000,1000000,3516000,4.516
219754,-0.155819,-0.155831,1.20033e-005,7.70337e-005,4000000,1000000,3000000,4
788997,5.81579,5.77995,0.0358404,0.00616261,5000000,0,5000000,inf
66244.8,2.54449,2.54262,0.00187254,0.000735918,5085000,995000,4090000,5.11055
196816,13.5642,13.5031,0.0611762,0.00451011,3999000,1000000,2999000,3.999
-744771,0.604252,0.602669,0.001583,0.00261977,4003000,998000,3005000,4.01102
560662,2.64001,2.63961,0.000398707,0.000151025,4999000,1000000,3999000,4.999
95094,1.93327,1.93076,0.00251089,0.00129878,4000000,1000000,3000000,4
-238596,-2.99942,-2.99602,0.00340217,0.00113428,4000000,1000000,3000000,4
801152,-10.5153,-10.4486,0.0666592,0.00633926,4000000,1000000,3000000,4
284562,-0.0720904,-0.071999,9.13915e-005,0.00126773,5000000,0,5000000,inf
-620773,-0.137094,-0.137118,2.38417e-005,0.000173908,5000000,1000000,4000000,5
-608873,-1.37053,-1.36831,0.00221955,0.00161948,4186000,1000000,3186000,4.186
844628,28.8262,28.7833,0.0429019,0.00148829,4000000,1000000,3000000,4
-352563,-0.928689,-0.928172,0.000517345,0.00055707,4000000,1000000,3000000,4
550653,0.780788,0.778903,0.00188447,0.00241355,4000000,999000,3001000,4.004
22282.2,-2.17975,-2.17039,0.00935342,0.00429106,4001000,1005000,2996000,3.98109
837712,0.193108,0.192957,0.000151823,0.000786206,3998000,1000000,2998000,3.998
