angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.912219,5.0151e-011,5.49769e-011,5017000,1000000,4017000,5.017
-831034,0.782006,0.782006,5.20825e-009,6.66011e-009,5000000,0,5000000,inf
-458094,0.983342,0.983342,3.25717e-012,3.31235e-012,6000000,1000000,5000000,6
609577,-0.0200326,-0.0200544,2.17676e-005,0.00108661,4897000,1000000,3897000,4.897
409167,0.775342,0.775342,6.1243e-009,7.89884e-009,5015000,988000,4027000,5.07591
-443709,-0.993514,-0.993514,1.96676e-012,1.9796e-012,5347000,0,5347000,inf
471271,0.524898,0.524898,3.27453e-007,6.23841e-007,6000000,1000000,5000000,6
657518,0.301253,0.301256,2.85213e-006,9.46757e-006,5000000,1000000,4000000,5
166359,0.346461,0.346463,1.94216e-006,5.6057e-006,5127000,1000000,4127000,5.127
-30974.2,-0.304366,-0.304369,2.77951e-006,9.13212e-006,5000000,1000000,4000000,5
-328370,-0.438096,-0.438097,8.27741e-007,1.8894e-006,5509000,0,5509000,inf
-806591,0.993627,0.993627,3.54394e-012,3.56667e-012,6249000,0,6249000,inf
433238,0.902626,0.902626,9.09889e-011,1.00805e-010,5011000,1000000,4011000,5.011
-609370,0.235756,0.235761,4.80904e-006,2.03984e-005,6000000,0,6000000,inf
664120,0.977335,0.977335,5.42677e-012,5.55262e-012,5000000,1000000,4000000,5
519614,0.378671,0.378672,1.45687e-006,3.84733e-006,5134000,1000000,4134000,5.134
-856232,-0.855574,-0.855574,6.08405e-010,7.11108e-010,5001000,999000,4002000,5.00601
-642337,0.381758,0.381759,1.41635e-006,3.71007e-006,5000000,1000000,4000000,5
162445,0.823746,0.823746,1.74477e-009,2.11809e-009,5000000,0,5000000,inf
-551083,-0.834158,-0.834158,1.2607e-009,1.51135e-009,6000000,0,6000000,inf
45341.5,-0.438833,-0.438834,8.21714e-007,1.8725e-006,6001000,0,6001000,inf
-86323.8,0.647409,0.647409,6.54721e-008,1.01129e-007,6034000,0,6034000,inf
400490,0.944026,0.944026,1.02244e-011,1.08306e-011,5008000,999000,4009000,5.01301
405221,0.99981,0.99981,3.07643e-013,3.07701e-013,5000000,1002000,3998000,4.99002
752226,-0.962752,-0.962752,7.27618e-012,7.55769e-012,5129000,0,5129000,inf
-73721.3,0.766891,0.766891,7.40792e-009,9.65968e-009,5265000,1144000,4121000,4.60227
702215,0.917924,0.917924,4.60231e-011,5.01382e-011,5330000,502000,4828000,10.6175
777770,0.999031,0.999031,1.33416e-012,1.33545e-012,5018000,0,5018000,inf
515021,0.691273,0.691273,3.2328e-008,4.67659e-008,6309000,0,6309000,inf
-866518,-0.46408,-0.464081,6.35942e-007,1.37033e-006,6503000,0,6503000,inf
-200535,0.930765,0.930765,1.1999e-011,1.28915e-011,5000000,999000,4001000,5.00501
-491125,0.965088,0.965088,5.48495e-012,5.68336e-012,5001000,999000,4002000,5.00601
-927838,0.935941,0.935941,2.70628e-012,2.89151e-012,5153000,0,5153000,inf
123389,0.993047,0.993047,5.66325e-013,5.7029e-013,6001000,0,6001000,inf
-765238,-0.930418,-0.930418,2.61697e-011,2.81268e-011,4999000,1008000,3991000,4.95933
-526462,0.982771,0.982771,3.8064e-012,3.87313e-012,5102000,1000000,4102000,5.102
846405,-0.958275,-0.958275,8.27671e-012,8.6371e-012,5000000,0,5000000,inf
-849002,0.715805,0.715805,2.09246e-008,2.92323e-008,6001000,0,6001000,inf
745918,-0.964721,-0.964721,8.15115e-012,8.44923e-012,5000000,1000000,4000000,5
-939301,-0.827355,-0.827355,1.58568e-009,1.91657e-009,4999000,1000000,3999000,4.999
972182,-0.586498,-0.586498,1.53907e-007,2.62417e-007,5001000,999000,4002000,5.00601
-17526.5,-0.898318,-0.898318,1.04636e-010,1.16479e-010,5000000,0,5000000,inf
-854271,-0.850236,-0.850236,7.71165e-010,9.07001e-010,6043000,0,6043000,inf
820824,0.578098,0.578098,1.71587e-007,2.96813e-007,6000000,0,6000000,inf
-961711,0.765594,0.765594,7.60295e-009,9.93079e-009,5509000,0,5509000,inf
-350186,0.744891,0.744891,1.18734e-008,1.59398e-008,5209000,1107000,4102000,4.70551
-534035,-0.0305673,-0.0305876,2.03378e-005,0.000665345,6007000,0,6007000,inf
216209,-0.219471,-0.219476,5.44591e-006,2.48139e-005,6001000,0,6001000,inf
631025,-0.190128,-0.190134,6.77992e-006,3.56599e-005,5999000,0,5999000,inf
287279,0.708875,0.708875,2.37354e-008,3.34831e-008,6000000,0,6000000,inf
-968453,0.999019,0.999019,1.67188e-012,1.67353e-012,5005000,1000000,4005000,5.005
862018,-0.999549,-0.999549,1.00886e-012,1.00931e-012,4995000,1000000,3995000,4.995
177232,-0.434902,-0.434903,8.54392e-007,1.96456e-006,5534000,0,5534000,inf
172012,-0.996568,-0.996568,5.55e-013,5.56912e-013,5999000,0,5999000,inf
244136,-0.845169,-0.845169,8.99081e-010,1.06379e-009,5002000,998000,4004000,5.01202
-491787,-0.214385,-0.214391,5.65925e-006,2.63976e-005,5000000,1000000,4000000,5
74256.5,-0.19536,-0.195367,6.5231e-006,3.33901e-005,5999000,0,5999000,inf
-375559,0.785531,0.785531,4.79503e-009,6.10419e-009,5000000,1000000,4000000,5
-179296,0.615209,0.615209,1.04497e-007,1.69857e-007,5000000,1000000,4000000,5
-151215,-0.366577,-0.366578,1.62528e-006,4.43368e-006,5003000,1001000,4002000,4.998
848151,-0.966305,-0.966305,8.90388e-012,9.21436e-012,5000000,1000000,4000000,5
804978,0.37074,0.370741,1.56552e-006,4.22269e-006,5507000,0,5507000,inf
-800517,0.464774,0.464775,6.31389e-007,1.35849e-006,6116000,0,6116000,inf
393739,-0.997335,-0.997335,1.11988e-012,1.12287e-012,6007000,0,6007000,inf
-371859,0.724142,0.724142,1.78638e-008,2.46689e-008,5000000,1000000,4000000,5
-946442,0.902756,0.902756,9.90237e-011,1.0969e-010,5000000,1000000,4000000,5
261935,-0.0973532,-0.0973662,1.30617e-005,0.000134169,5007000,1000000,4007000,5.007
587251,0.745029,0.745029,1.18459e-008,1.58999e-008,5000000,0,5000000,inf
158528,-0.990689,-0.990689,8.41882e-013,8.49795e-013,6000000,0,6000000,inf
-650367,0.828113,0.828113,1.51582e-009,1.83045e-009,5447000,1000000,4447000,5.447
644935,-0.982164,-0.982164,4.71068e-012,4.79622e-012,4537000,1227000,3310000,3.69764
-395154,-0.314675,-0.314677,2.55019e-006,8.10419e-006,5007000,1002000,4005000,4.99701
526782,0.970627,0.970627,4.74276e-012,4.88629e-012,5011000,0,5011000,inf
377425,0.962869,0.962869,3.33e-012,3.45842e-012,6082000,0,6082000,inf
950659,0.998959,0.998959,1.69076e-012,1.69252e-012,6000000,0,6000000,inf
-11888,0.972123,0.972123,4.31877e-014,4.44261e-014,5000000,1000000,4000000,5
661137,-0.218835,-0.218841,5.47221e-006,2.50061e-005,5004000,1000000,4004000,5.004
274357,-0.137826,-0.137836,9.87523e-006,7.165e-005,5000000,999000,4001000,5.00501
-542349,-0.964906,-0.964906,5.06828e-012,5.25261e-012,5512000,0,5512000,inf
-193259,0.619829,0.619829,9.79289e-008,1.57993e-007,5996000,0,5996000,inf
-372006,-0.887969,-0.887969,1.64225e-010,1.84945e-010,6000000,0,6000000,inf
601429,-0.70543,-0.70543,2.52614e-008,3.58099e-008,6000000,0,6000000,inf
-247536,-0.996377,-0.996377,8.20566e-013,8.2355e-013,5000000,1000000,4000000,5
949161,-0.836445,-0.836445,1.16456e-009,1.39227e-009,5000000,1000000,4000000,5
369196,-0.433518,-0.433519,8.66156e-007,1.99797e-006,5000000,1000000,4000000,5
805927,-0.392585,-0.392587,1.28175e-006,3.26491e-006,5000000,1000000,4000000,5
-248458,-0.306176,-0.306178,2.73803e-006,8.94269e-006,5100000,1000000,4100000,5.1
-255643,0.672932,0.672932,4.39092e-008,6.52505e-008,5001000,999000,4002000,5.00601
-325730,-0.937591,-0.937591,4.37583e-012,4.6671e-012,5000000,0,5000000,inf
317173,-0.563637,-0.563637,2.05986e-007,3.65459e-007,6075000,0,6075000,inf
-220519,-0.236738,-0.236743,4.77281e-006,2.01607e-005,6010000,1000000,5010000,6.01
-968943,0.660537,0.660537,5.34638e-008,8.09399e-008,5000000,1000000,4000000,5
-940128,0.997749,0.997749,2.45737e-012,2.46291e-012,5000000,0,5000000,inf
-71663.1,-0.974113,-0.974113,5.26801e-013,5.40801e-013,6104000,0,6104000,inf
754917,-0.0195353,-0.0195571,2.18372e-005,0.00111783,5999000,0,5999000,inf
-139925,0.463175,0.463176,6.41962e-007,1.386e-006,5509000,1000000,4509000,5.509
-289841,-0.416641,-0.416642,1.02095e-006,2.45042e-006,5440000,0,5440000,inf
-715375,-0.934244,-0.934244,2.13924e-011,2.28981e-011,6000000,0,6000000,inf
893923,-0.192684,-0.192691,6.65341e-006,3.45301e-005,6000000,0,6000000,inf
626230,-0.65885,-0.65885,5.49023e-008,8.33304e-008,6247000,0,6247000,inf
-920520,-0.531674,-0.531674,3.02756e-007,5.69439e-007,6007000,0,6007000,inf
-636484,-0.719897,-0.719897,1.93499e-008,2.68787e-008,5000000,1000000,4000000,5
-416193,0.0748981,0.0749133,1.51957e-005,0.000202885,6000000,0,6000000,inf
-928600,-0.526884,-0.526885,3.20076e-007,6.07487e-007,5494000,1000000,4494000,5.494
-725649,-0.63475,-0.63475,7.90146e-008,1.24481e-007,5000000,1000000,4000000,5
653679,0.144794,0.144803,9.402e-006,6.49337e-005,5000000,1001000,3999000,4.995
-262700,0.988224,0.988224,1.56497e-012,1.58362e-012,5060000,1000000,4060000,5.06
689125,-0.888252,-0.888252,1.56368e-010,1.7604e-010,5000000,0,5000000,inf
-99888.8,0.32345,0.323452,2.36799e-006,7.32103e-006,6000000,0,6000000,inf
170701,0.950903,0.950903,4.67903e-012,4.92062e-012,6004000,0,6004000,inf
-615775,-0.733275,-0.733275,1.49634e-008,2.04063e-008,4999000,1000000,3999000,4.999
-640224,0.737868,0.737868,1.36932e-008,1.85578e-008,5000000,1000000,4000000,5
262255,0.0392849,0.0393041,1.92187e-005,0.000489214,5508000,0,5508000,inf
949809,0.106598,0.106611,1.22633e-005,0.000115042,5367000,1198000,4169000,4.47997
807994,0.41262,0.412621,1.06108e-006,2.57155e-006,5459000,1079000,4380000,5.05931
389343,0.660931,0.660932,5.31734e-008,8.04522e-008,4700000,999000,3701000,4.7047
-645626,-0.914672,-0.914672,3.26476e-011,3.56932e-011,5450000,0,5450000,inf
-571400,0.750836,0.750836,1.04735e-008,1.39491e-008,6001000,0,6001000,inf
636628,-0.897484,-0.897484,1.19707e-010,1.33381e-010,4999000,1000000,3999000,4.999
915060,-0.343839,-0.343841,1.98714e-006,5.77928e-006,6000000,0,6000000,inf
-351291,-0.380539,-0.38054,1.43224e-006,3.76373e-006,6000000,0,6000000,inf
