angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,1.57768e-012,3.85079e-012,6199000,1000000,5199000,6.199
-831034,-0.623271,-0.623271,2.53322e-011,4.06439e-011,6012000,0,6012000,inf
-458094,0.181763,0.181763,1.75593e-011,9.66055e-011,5995000,996000,4999000,6.01908
609577,0.999799,0.999799,4.41647e-013,4.41735e-013,5109000,1000000,4109000,5.109
409167,-0.631542,-0.631542,1.23663e-011,1.95812e-011,6009000,0,6009000,inf
-443709,-0.113706,-0.113706,1.71838e-011,1.51126e-010,6150000,999000,5151000,6.15616
471271,0.851165,0.851165,9.64251e-012,1.13286e-011,5004000,1000000,4004000,5.004
657518,0.953544,0.953544,7.72205e-012,8.09825e-012,5000000,1000000,4000000,5
166359,-0.938064,-0.938064,2.24631e-012,2.39463e-012,5213000,999000,4214000,5.21822
-30974.2,0.952555,0.952555,3.68039e-013,3.8637e-013,5000000,1000000,4000000,5
-328370,0.898928,0.898928,5.60763e-012,6.23812e-012,5000000,1002000,3998000,4.99002
-806591,-0.11272,-0.11272,3.12409e-011,2.77156e-010,5004000,1001000,4003000,4.999
433238,-0.430425,-0.430425,1.52434e-011,3.54147e-011,6000000,1000000,5000000,6
-609370,-0.971812,-0.971812,5.60196e-012,5.76445e-012,5000000,1000000,4000000,5
664120,0.211697,0.211697,2.53009e-011,1.19515e-010,5001000,1000000,4001000,5.001
519614,0.925531,0.925531,7.67009e-012,8.28722e-012,4998000,1137000,3861000,4.39578
-856232,0.517681,0.517681,2.85558e-011,5.51611e-011,5999000,0,5999000,inf
-642337,-0.924262,-0.924262,9.55891e-012,1.03422e-011,6000000,1000000,5000000,6
162445,-0.566959,-0.566959,5.21616e-012,9.20024e-012,5000000,1000000,4000000,5
-551083,0.551526,0.551526,1.7919e-011,3.24899e-011,5000000,1000000,4000000,5
45341.5,0.898569,0.898569,7.75602e-013,8.63152e-013,5001000,999000,4002000,5.00601
-86323.8,0.762143,0.762143,2.17848e-012,2.85836e-012,5000000,1000000,4000000,5
400490,-0.32987,-0.32987,1.47375e-011,4.46766e-011,6003000,0,6003000,inf
405221,0.0194771,0.0194771,1.57927e-011,8.10833e-010,6000000,1001000,4999000,5.99401
752226,-0.270386,-0.270386,2.82299e-011,1.04406e-010,5508000,0,5508000,inf
-73721.3,-0.641777,-0.641777,2.20368e-012,3.43372e-012,6005000,999000,5006000,6.01101
702215,-0.396756,-0.396756,2.5126e-011,6.33286e-011,5000000,1000000,4000000,5
777770,-0.0440029,-0.0440029,3.02885e-011,6.88329e-010,6000000,1000000,5000000,6
