angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.449128,-0.449127,7.24504e-007,1.61313e-006,5012000,0,5012000,inf
-831034,-0.797015,-0.796876,0.00013907,0.000174488,4442000,1005000,3437000,4.4199
-458094,0.184842,0.184842,8.68094e-011,4.69642e-010,4012000,0,4012000,inf
609577,-49.9085,-6.28806,43.6205,0.874008,5544000,0,5544000,inf
409167,-0.814534,-0.814367,0.000166406,0.000204296,4082000,1005000,3077000,4.06169
-443709,0.114448,0.114448,1.78973e-011,1.5638e-010,4035000,1002000,3033000,4.02695
471271,1.62158,1.60294,0.0186408,0.0114954,4013000,1006000,3007000,3.98907
657518,3.16526,2.83133,0.333935,0.1055,3882000,1008000,2874000,3.85119
166359,-2.70756,-2.51524,0.192316,0.0710292,4013000,0,4013000,inf
-30974.2,-3.12964,-2.80812,0.321511,0.102731,4395000,1004000,3391000,4.37749
-328370,-2.0519,-1.99112,0.0607805,0.0296216,4116000,0,4116000,inf
-806591,-0.113443,-0.113443,3.15055e-011,2.77722e-010,5025000,0,5025000,inf
433238,-0.476858,-0.476857,1.30465e-006,2.73593e-006,5011000,0,5011000,inf
-609370,-4.12211,-3.37611,0.746003,0.180976,4604000,0,4604000,inf
664120,0.216606,0.216606,3.48579e-010,1.60928e-009,5039000,0,5039000,inf
519614,2.44416,2.31494,0.129214,0.0528666,4527000,1004000,3523000,4.50896
-856232,-0.605069,-0.605056,1.24712e-005,2.06112e-005,4044000,1005000,3039000,4.02388
-642337,-2.42107,-2.29673,0.124342,0.0513583,4590000,0,4590000,inf
162445,-0.688269,-0.68823,3.96975e-005,5.76773e-005,4443000,1004000,3439000,4.4253
-551083,-0.661177,-0.661149,2.78202e-005,4.20767e-005,4234000,1017000,3217000,4.16323
45341.5,-2.04763,-1.98743,0.0602015,0.0294005,4074000,0,4074000,inf
-86323.8,1.17722,1.17458,0.00263825,0.00224109,5194000,0,5194000,inf
400490,-0.349429,-0.349429,5.75675e-008,1.64747e-007,4020000,1070000,2950000,3.75701
405221,0.0194808,0.0194808,1.58017e-011,8.11141e-010,4609000,0,4609000,inf
752226,0.280847,0.280847,5.89297e-009,2.09828e-008,4312000,1004000,3308000,4.29482
-73721.3,-0.836855,-0.836648,0.000207511,0.000247965,4600000,0,4600000,inf
702215,-0.432232,-0.432232,4.95435e-007,1.14622e-006,4525000,1003000,3522000,4.51147
777770,-0.0440455,-0.0440455,3.03767e-011,6.89665e-010,3515000,1265000,2250000,2.77866
515021,1.04531,1.04416,0.00114746,0.00109773,3772000,1004000,2768000,3.75697
-866518,-1.90871,-1.86552,0.0431846,0.022625,4995000,547000,4448000,9.13163
-200535,-0.392814,-0.392814,1.89813e-007,4.83215e-007,4044000,0,4044000,inf
-491125,0.271402,0.271402,4.15255e-009,1.53004e-008,4559000,1018000,3541000,4.47839
-927838,-0.376259,-0.376259,1.22608e-007,3.25861e-007,4143000,0,4143000,inf
123389,-0.118545,-0.118545,5.42758e-012,4.57848e-011,4774000,1045000,3729000,4.56842
-765238,0.393908,0.393908,1.95269e-007,4.95722e-007,4040000,1003000,3037000,4.02792
-526462,0.188065,0.188065,1.03592e-010,5.5083e-010,4524000,0,4524000,inf
