angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,-0.912219,-0.912219,5.0151e-011,5.49769e-011,5024000,0,5024000,inf
-831034,0.782006,0.782006,5.20825e-009,6.66011e-009,5802000,1004000,4798000,5.77888
-458094,0.983342,0.983342,3.25717e-012,3.31235e-012,6017000,0,6017000,inf
609577,-0.0200326,-0.0200544,2.17676e-005,0.00108661,5718000,1002000,4716000,5.70659
409167,0.775342,0.775342,6.1243e-009,7.89884e-009,5560000,0,5560000,inf
-443709,-0.993514,-0.993514,1.96676e-012,1.9796e-012,5024000,1004000,4020000,5.00398
471271,0.524898,0.524898,3.27453e-007,6.23841e-007,5536000,1004000,4532000,5.51394
657518,0.301253,0.301256,2.85213e-006,9.46757e-006,5021000,1008000,4013000,4.98115
166359,0.346461,0.346463,1.94216e-006,5.6057e-006,5062000,1003000,4059000,5.04686
-30974.2,-0.304366,-0.304369,2.77951e-006,9.13212e-006,5542000,0,5542000,inf
-328370,-0.438096,-0.438097,8.27741e-007,1.8894e-006,5017000,1503000,3514000,3.33799
-806591,0.993627,0.993627,3.54394e-012,3.56667e-012,5174000,1003000,4171000,5.15852
433238,0.902626,0.902626,9.09889e-011,1.00805e-010,4694000,1011000,3683000,4.64293
-609370,0.235756,0.235761,4.80904e-006,2.03984e-005,5535000,1006000,4529000,5.50199
664120,0.977335,0.977335,5.42677e-012,5.55262e-012,4746000,1002000,3744000,4.73653
519614,0.378671,0.378672,1.45687e-006,3.84733e-006,6031000,0,6031000,inf
-856232,-0.855574,-0.855574,6.08405e-010,7.11108e-010,6202000,0,6202000,inf
-642337,0.381758,0.381759,1.41635e-006,3.71007e-006,6102000,0,6102000,inf
162445,0.823746,0.823746,1.74477e-009,2.11809e-009,6394000,0,6394000,inf
-551083,-0.834158,-0.834158,1.2607e-009,1.51135e-009,5034000,1003000,4031000,5.01894
45341.5,-0.438833,-0.438834,8.21714e-007,1.8725e-006,6070000,0,6070000,inf
-86323.8,0.647409,0.647409,6.54721e-008,1.01129e-007,5667000,1003000,4664000,5.65005
400490,0.944026,0.944026,1.02244e-011,1.08306e-011,5702000,0,5702000,inf
405221,0.99981,0.99981,3.07643e-013,3.07701e-013,5199000,0,5199000,inf
752226,-0.962752,-0.962752,7.27618e-012,7.55769e-012,6580000,0,6580000,inf
-73721.3,0.766891,0.766891,7.40792e-009,9.65968e-009,5880000,0,5880000,inf
702215,0.917924,0.917924,4.60231e-011,5.01382e-011,5696000,1003000,4693000,5.67896
777770,0.999031,0.999031,1.33416e-012,1.33545e-012,5188000,1011000,4177000,5.13155
515021,0.691273,0.691273,3.2328e-008,4.67659e-008,5076000,1000000,4076000,5.076
-866518,-0.46408,-0.464081,6.35942e-007,1.37033e-006,6034000,0,6034000,inf
-200535,0.930765,0.930765,1.1999e-011,1.28915e-011,6051000,577000,5474000,10.487
