angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,1.57768e-012,3.85079e-012,5523000,996000,4527000,5.54518
-831034,-0.623271,-0.623271,2.53322e-011,4.06439e-011,5927000,1005000,4922000,5.89751
-458094,0.181763,0.181763,1.75593e-011,9.66055e-011,5032000,1004000,4028000,5.01195
609577,0.999799,0.999799,4.41647e-013,4.41735e-013,6084000,0,6084000,inf
409167,-0.631542,-0.631542,1.23663e-011,1.95812e-011,5646000,1003000,4643000,5.62911
-443709,-0.113706,-0.113706,1.71838e-011,1.51126e-010,6060000,1002000,5058000,6.0479
471271,0.851165,0.851165,9.64251e-012,1.13286e-011,5011000,0,5011000,inf
657518,0.953544,0.953544,7.72205e-012,8.09825e-012,6343000,0,6343000,inf
166359,-0.938064,-0.938064,2.24631e-012,2.39463e-012,5573000,1003000,4570000,5.55633
-30974.2,0.952555,0.952555,3.68039e-013,3.8637e-013,5014000,1008000,4006000,4.97421
-328370,0.898928,0.898928,5.60763e-012,6.23812e-012,5585000,1005000,4580000,5.55721
-806591,-0.11272,-0.11272,3.12409e-011,2.77156e-010,5571000,0,5571000,inf
433238,-0.430425,-0.430425,1.52434e-011,3.54147e-011,6117000,1092000,5025000,5.60165
-609370,-0.971812,-0.971812,5.60196e-012,5.76445e-012,5566000,1009000,4557000,5.51635
664120,0.211697,0.211697,2.53009e-011,1.19515e-010,5529000,513000,5016000,10.7778
519614,0.925531,0.925531,7.67009e-012,8.28722e-012,5692000,1002000,4690000,5.68064
-856232,0.517681,0.517681,2.85558e-011,5.51611e-011,5648000,1004000,4644000,5.6255
-642337,-0.924262,-0.924262,9.55891e-012,1.03422e-011,4866000,1000000,3866000,4.866
162445,-0.566959,-0.566959,5.21616e-012,9.20024e-012,5757000,1002000,4755000,5.74551
-551083,0.551526,0.551526,1.7919e-011,3.24899e-011,5444000,1468000,3976000,3.70845
45341.5,0.898569,0.898569,7.75602e-013,8.63152e-013,5275000,1000000,4275000,5.275
-86323.8,0.762143,0.762143,2.17848e-012,2.85836e-012,4946000,1002000,3944000,4.93613
400490,-0.32987,-0.32987,1.47375e-011,4.46766e-011,5298000,1011000,4287000,5.24036
405221,0.0194771,0.0194771,1.57927e-011,8.10833e-010,6074000,1005000,5069000,6.04378
752226,-0.270386,-0.270386,2.82299e-011,1.04406e-010,5528000,1002000,4526000,5.51697
-73721.3,-0.641777,-0.641777,2.20368e-012,3.43372e-012,5379000,1013000,4366000,5.30997
702215,-0.396756,-0.396756,2.5126e-011,6.33286e-011,6163000,0,6163000,inf
777770,-0.0440029,-0.0440029,3.02885e-011,6.88329e-010,6587000,0,6587000,inf
515021,0.722594,0.722594,1.38778e-011,1.92055e-011,6236000,0,6236000,inf
-866518,0.885793,0.885793,1.56756e-011,1.76966e-011,6068000,1004000,5064000,6.04382
-200535,-0.365617,-0.365617,7.27568e-012,1.98997e-011,5182000,1003000,4179000,5.1665
-491125,0.261926,0.261926,1.84759e-011,7.05384e-011,5536000,1005000,4531000,5.50846
-927838,-0.352157,-0.352157,3.38508e-011,9.61242e-011,5059000,1504000,3555000,3.3637
123389,-0.117721,-0.117721,4.77633e-012,4.05733e-011,6014000,1001000,5013000,6.00799
-765238,-0.366499,-0.366499,2.77538e-011,7.57268e-011,5515000,1010000,4505000,5.4604
-526462,0.184825,0.184825,2.01681e-011,1.0912e-010,6208000,0,6208000,inf
846405,-0.285848,-0.285848,3.16167e-011,1.10606e-010,6136000,1003000,5133000,6.11765
-849002,0.6983,0.6983,2.36894e-011,3.39244e-011,5542000,1009000,4533000,5.49257
745918,0.263275,0.263275,2.80505e-011,1.06544e-010,5172000,1039000,4133000,4.97786
-939301,-0.561679,-0.561679,3.02929e-011,5.39327e-011,6565000,0,6565000,inf
972182,-0.809951,-0.809951,2.2226e-011,2.74412e-011,6175000,1010000,5165000,6.11386
-17526.5,-0.439346,-0.439346,6.1362e-013,1.39667e-012,5718000,0,5718000,inf
-854271,-0.526401,-0.526401,2.83126e-011,5.37852e-011,6642000,0,6642000,inf
820824,0.815967,0.815967,1.84968e-011,2.26685e-011,5207000,1503000,3704000,3.4644
-961711,-0.643324,-0.643324,2.87006e-011,4.4613e-011,5661000,1009000,4652000,5.61051
-350186,0.667187,0.667187,1.01681e-011,1.52402e-011,6057000,1004000,5053000,6.03287
-534035,-0.999533,-0.999533,6.06404e-013,6.06687e-013,5033000,1502000,3531000,3.35087
216209,-0.975619,-0.975619,1.85219e-012,1.89847e-012,5200000,0,5200000,inf
631025,-0.981759,-0.981759,4.68037e-012,4.76733e-012,6733000,0,6733000,inf
287279,-0.705334,-0.705334,7.93809e-012,1.12544e-011,6115000,0,6115000,inf
-968453,-0.0442867,-0.0442867,3.77137e-011,8.5158e-010,6171000,1004000,5167000,6.14641
862018,0.0300244,0.0300244,3.35867e-011,1.11865e-009,6561000,0,6561000,inf
177232,0.900478,0.900478,3.0046e-012,3.33667e-012,6068000,1062000,5006000,5.71375
172012,-0.0827819,-0.0827819,6.68209e-012,8.07191e-011,5232000,1003000,4229000,5.21635
244136,0.5345,0.5345,8.0429e-012,1.50475e-011,5626000,1025000,4601000,5.48878
-491787,-0.976749,-0.976749,4.10727e-012,4.20504e-012,6034000,0,6034000,inf
74256.5,0.980732,0.980732,5.62217e-013,5.73263e-013,5647000,1034000,4613000,5.46132
-375559,-0.618822,-0.618822,1.14997e-011,1.85832e-011,5520000,512000,5008000,10.7812
-179296,0.788364,0.788364,4.29967e-012,5.45392e-012,6107000,0,6107000,inf
-151215,0.930388,0.930388,2.16094e-012,2.32262e-012,5329000,1013000,4316000,5.26061
848151,0.257402,0.257402,3.19473e-011,1.24115e-010,6070000,504000,5566000,12.0437
804978,0.928737,0.928737,1.16336e-011,1.25262e-011,5142000,1003000,4139000,5.12662
-800517,-0.885429,-0.885429,1.45031e-011,1.63797e-011,6194000,0,6194000,inf
393739,0.0729583,0.0729583,1.53072e-011,2.09808e-010,6223000,0,6223000,inf
-371859,-0.689651,-0.689651,1.04966e-011,1.52202e-011,6538000,1004000,5534000,6.51195
-946442,0.430152,0.430152,3.33051e-011,7.74264e-011,5223000,1010000,4213000,5.17129
261935,0.99525,0.99525,9.81215e-013,9.85898e-013,5073000,1003000,4070000,5.05783
587251,-0.667032,-0.667032,1.70548e-011,2.55682e-011,6120000,0,6120000,inf
158528,0.136144,0.136144,6.12194e-012,4.49666e-011,6521000,0,6521000,inf
-650367,-0.560561,-0.560561,2.0994e-011,3.74518e-011,6487000,0,6487000,inf
644935,-0.188027,-0.188027,2.46914e-011,1.31318e-010,5638000,1003000,4635000,5.62114
-395154,0.9492,0.9492,4.84779e-012,5.10724e-012,6063000,0,6063000,inf
526782,0.24059,0.24059,1.99311e-011,8.28423e-011,6112000,1004000,5108000,6.08765
377425,0.269969,0.269969,1.41659e-011,5.24725e-011,5111000,1007000,4104000,5.07547
950659,0.0456275,0.0456275,3.70185e-011,8.1132e-010,5027000,1503000,3524000,3.34464
-11888,-0.234472,-0.234472,4.50473e-013,1.92122e-012,5471000,1077000,4394000,5.07985
661137,0.975762,0.975762,5.63716e-012,5.77719e-012,5539000,524000,5015000,10.5706
274357,0.990456,0.990456,1.46638e-012,1.48051e-012,5728000,0,5728000,inf
-542349,0.262594,0.262594,2.03991e-011,7.76829e-011,6530000,0,6530000,inf
-193259,-0.784737,-0.784737,4.66926e-012,5.9501e-012,6033000,1009000,5024000,5.97919
-372006,0.459903,0.459903,1.28764e-011,2.79981e-011,4738000,1003000,3735000,4.72383
601429,0.708779,0.708779,1.65381e-011,2.33332e-011,5899000,1005000,4894000,5.86965
-247536,0.085051,0.085051,9.61407e-012,1.13039e-010,5517000,0,5517000,inf
949161,-0.548051,-0.548051,3.09474e-011,5.6468e-011,6069000,1005000,5064000,6.03881
369196,0.901145,0.901145,6.23879e-012,6.92318e-012,5177000,1002000,4175000,5.16667
805927,0.919716,0.919716,1.2333e-011,1.34096e-011,5406000,0,5406000,inf
-248458,-0.951975,-0.951975,2.96463e-012,3.11419e-012,5552000,1002000,4550000,5.54092
-255643,0.739704,0.739704,6.70586e-012,9.0656e-012,5560000,1011000,4549000,5.49951
-325730,0.347739,0.347739,1.19046e-011,3.42345e-011,5218000,1015000,4203000,5.14089
317173,-0.826023,-0.826023,6.96876e-012,8.43652e-012,5239000,1004000,4235000,5.21813
-220519,0.971574,0.971574,2.03693e-012,2.09652e-012,5830000,0,5830000,inf
-968943,-0.750794,-0.750794,2.49483e-011,3.32292e-011,6112000,1003000,5109000,6.09372
-940128,0.0670548,0.0670548,3.65641e-011,5.45287e-010,5551000,1003000,4548000,5.5344
